city,country_code,date,time,timestamp,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,precipitation,snow,country
Buenos Aires,AR,2015-05-17,12:00:00,1431838800,20.3,18.2,23.1,,,20.4,14.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-05-18,12:00:00,1431925200,20.5,19.3,23.2,,,12.4,39.0,,Rain,Precipitation,0.7,0.0,Argentina
Buenos Aires,AR,2015-05-19,12:00:00,1432011600,20.9,18.9,24.0,,,13.4,18.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-05-20,12:00:00,1432098000,20.5,18.3,23.3,,,19.4,13.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-05-21,12:00:00,1432184400,20.9,18.3,24.4,,,24.8,1.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-05-22,12:00:00,1432270800,21.1,19.1,24.6,,,21.5,355.0,,Rain,Precipitation,0.4,0.0,Argentina
Buenos Aires,AR,2015-05-23,12:00:00,1432357200,18.6,15.4,20.8,,,24.3,180.0,,Rain,Precipitation,3.9,0.0,Argentina
Buenos Aires,AR,2015-05-24,12:00:00,1432443600,13.5,11.2,15.4,,,24.2,159.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-05-25,12:00:00,1432530000,13.1,9.2,17.4,,,9.4,297.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-05-26,12:00:00,1432616400,13.9,11.1,16.2,,,19.5,117.0,,Rain,Precipitation,3.8,0.0,Argentina
Buenos Aires,AR,2015-05-27,12:00:00,1432702800,14.1,12.8,16.8,,,19.6,118.0,,Rain,Precipitation,0.5,0.0,Argentina
Buenos Aires,AR,2015-05-28,12:00:00,1432789200,13.8,11.7,15.9,,,20.9,75.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-05-29,12:00:00,1432875600,13.4,11.5,15.8,,,21.7,25.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-05-30,12:00:00,1432962000,12.9,11.0,15.7,,,13.4,323.0,,Rain,Precipitation,0.8,0.0,Argentina
Buenos Aires,AR,2015-05-31,12:00:00,1433048400,13.8,10.4,18.4,,,13.3,314.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-06-01,12:00:00,1433134800,15.3,12.2,19.5,,,19.2,333.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-06-02,12:00:00,1433221200,15.9,12.4,19.8,,,28.8,340.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-06-03,12:00:00,1433307600,16.8,13.3,21.0,,,28.7,305.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-06-04,12:00:00,1433394000,14.0,9.2,18.5,,,14.0,82.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-06-05,12:00:00,1433480400,19.2,16.6,22.4,,,22.2,351.0,,Rain,Precipitation,1.1,0.0,Argentina
Buenos Aires,AR,2015-06-06,12:00:00,1433566800,18.6,14.8,19.7,,,26.6,244.0,,Rain,Precipitation,12.5,0.0,Argentina
Buenos Aires,AR,2015-06-07,12:00:00,1433653200,14.7,11.8,19.0,,,11.9,214.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-06-08,12:00:00,1433739600,13.4,9.5,17.2,,,20.5,111.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-06-09,12:00:00,1433826000,13.8,12.8,15.2,,,22.3,119.0,,Rain,Precipitation,4.3,0.0,Argentina
Buenos Aires,AR,2015-06-10,12:00:00,1433912400,12.0,10.1,14.3,,,17.7,220.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-06-11,12:00:00,1433998800,10.1,7.6,14.2,,,28.8,243.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-06-12,12:00:00,1434085200,9.6,6.0,14.8,,,22.1,314.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-06-13,12:00:00,1434171600,10.1,7.4,14.0,,,19.9,339.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-06-14,12:00:00,1434258000,10.5,7.0,14.5,,,33.8,263.0,,Rain,Precipitation,0.1,0.0,Argentina
Buenos Aires,AR,2015-06-15,12:00:00,1434344400,9.8,5.3,14.9,,,26.7,286.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-06-16,12:00:00,1434430800,12.6,8.9,17.8,,,27.7,326.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-06-17,12:00:00,1434517200,11.4,8.1,14.9,,,27.7,211.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-06-18,12:00:00,1434603600,6.5,3.2,9.7,,,25.7,200.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-06-19,12:00:00,1434690000,6.8,2.6,10.7,,,27.4,353.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-06-20,12:00:00,1434776400,9.0,6.0,13.1,,,27.8,339.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-06-21,12:00:00,1434862800,9.4,4.4,15.1,,,12.0,299.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-06-22,12:00:00,1434949200,9.1,6.6,12.3,,,22.0,196.0,,Rain,Precipitation,0.1,0.0,Argentina
Buenos Aires,AR,2015-06-23,12:00:00,1435035600,6.4,2.9,9.7,,,19.1,135.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-06-24,12:00:00,1435122000,9.3,5.7,13.4,,,24.4,56.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-06-25,12:00:00,1435208400,14.1,12.3,17.1,,,22.7,39.0,,Rain,Precipitation,2.3,0.0,Argentina
Buenos Aires,AR,2015-06-26,12:00:00,1435294800,15.4,13.3,18.5,,,19.5,16.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-06-27,12:00:00,1435381200,16.0,14.6,18.0,,,16.0,13.0,,Rain,Precipitation,3.5,0.0,Argentina
Buenos Aires,AR,2015-06-28,12:00:00,1435467600,16.5,15.7,17.9,,,19.3,349.0,,Rain,Precipitation,9.0,0.0,Argentina
Buenos Aires,AR,2015-06-29,12:00:00,1435554000,16.0,12.6,18.2,,,14.1,327.0,,Rain,Precipitation,2.0,0.0,Argentina
Buenos Aires,AR,2015-06-30,12:00:00,1435640400,12.7,10.8,16.3,,,18.3,228.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-07-01,12:00:00,1435726800,10.7,9.2,13.0,,,20.1,100.0,,Clear,Clear sky,0.0,0.0,Argentina
Buenos Aires,AR,2015-07-02,12:00:00,1435813200,11.7,10.3,14.1,,,20.6,52.0,,Clear,Clear sky,0.0,0.0,Argentina
