city,country_code,date,time,timestamp,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,precipitation,snow,country
Vienna,AT,2015-05-17,12:00:00,1431838800,16.1,14.3,18.7,,,19.5,293.0,,Clear,Clear sky,0.0,0.0,Austria
Vienna,AT,2015-05-18,12:00:00,1431925200,16.2,10.2,21.8,,,20.7,154.0,,Clear,Clear sky,0.0,0.0,Austria
Vienna,AT,2015-05-19,12:00:00,1432011600,17.7,12.0,22.6,,,20.2,302.0,,Rain,Precipitation,3.8,0.0,Austria
Vienna,AT,2015-05-20,12:00:00,1432098000,15.1,11.2,21.6,,,24.4,304.0,,Rain,Precipitation,2.5,0.0,Austria
Vienna,AT,2015-05-21,12:00:00,1432184400,12.8,10.3,15.9,,,20.3,334.0,,Rain,Precipitation,0.4,0.0,Austria
Vienna,AT,2015-05-22,12:00:00,1432270800,13.1,11.4,14.5,,,27.2,355.0,,Rain,Precipitation,3.4,0.0,Austria
Vienna,AT,2015-05-23,12:00:00,1432357200,11.7,10.3,13.1,,,16.5,330.0,,Rain,Precipitation,20.9,0.0,Austria
Vienna,AT,2015-05-24,12:00:00,1432443600,12.5,11.4,14.3,,,17.1,323.0,,Rain,Precipitation,1.2,0.0,Austria
Vienna,AT,2015-05-25,12:00:00,1432530000,15.1,11.6,19.1,,,21.7,333.0,,Rain,Precipitation,0.2,0.0,Austria
Vienna,AT,2015-05-26,12:00:00,1432616400,14.3,11.5,17.6,,,24.0,320.0,,Rain,Precipitation,8.7,0.0,Austria
Vienna,AT,2015-05-27,12:00:00,1432702800,12.7,10.1,15.7,,,26.6,327.0,,Rain,Precipitation,0.7,0.0,Austria
Vienna,AT,2015-05-28,12:00:00,1432789200,12.9,8.1,17.7,,,14.6,313.0,,Clear,Clear sky,0.0,0.0,Austria
Vienna,AT,2015-05-29,12:00:00,1432875600,16.0,7.5,22.5,,,17.0,168.0,,Clear,Clear sky,0.0,0.0,Austria
Vienna,AT,2015-05-30,12:00:00,1432962000,17.2,10.7,22.4,,,13.4,269.0,,Rain,Precipitation,2.0,0.0,Austria
Vienna,AT,2015-05-31,12:00:00,1433048400,17.2,11.7,21.9,,,17.7,153.0,,Clear,Clear sky,0.0,0.0,Austria
Vienna,AT,2015-06-01,12:00:00,1433134800,19.9,13.0,25.2,,,12.4,159.0,,Clear,Clear sky,0.0,0.0,Austria
