city,country_code,date,time,timestamp,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,precipitation,snow,country
Canberra,AU,2015-05-17,12:00:00,1431838800,8.0,1.5,15.6,,,9.8,139.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-05-18,12:00:00,1431925200,7.8,0.2,15.2,,,9.2,135.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-05-19,12:00:00,1432011600,10.4,7.9,11.8,,,19.5,336.0,,Rain,Precipitation,16.6,0.0,Australia
Canberra,AU,2015-05-20,12:00:00,1432098000,11.6,7.6,14.8,,,18.1,307.0,,Rain,Precipitation,1.5,0.0,Australia
Canberra,AU,2015-05-21,12:00:00,1432184400,8.1,4.3,12.5,,,11.4,203.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-05-22,12:00:00,1432270800,9.3,5.5,12.0,,,22.5,157.0,,Rain,Precipitation,5.0,0.0,Australia
Canberra,AU,2015-05-23,12:00:00,1432357200,6.4,0.0,13.8,,,10.6,222.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-05-24,12:00:00,1432443600,5.7,-2.2,13.0,,,5.4,149.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-05-25,12:00:00,1432530000,6.2,1.1,13.2,,,14.4,286.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-05-26,12:00:00,1432616400,5.0,-2.3,11.1,,,5.6,287.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-05-27,12:00:00,1432702800,7.0,0.6,14.0,,,16.9,298.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-05-28,12:00:00,1432789200,8.9,4.3,12.8,,,15.5,325.0,,Rain,Precipitation,1.6,0.0,Australia
Canberra,AU,2015-05-29,12:00:00,1432875600,10.3,5.2,13.7,,,20.1,291.0,,Rain,Precipitation,0.5,0.0,Australia
Canberra,AU,2015-05-30,12:00:00,1432962000,5.8,2.2,10.7,,,20.6,291.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-05-31,12:00:00,1433048400,6.2,1.5,11.1,,,24.2,290.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-06-01,12:00:00,1433134800,5.0,-0.4,8.7,,,24.1,271.0,,Rain,Precipitation,2.9,0.0,Australia
Canberra,AU,2015-06-02,12:00:00,1433221200,2.3,-2.5,9.0,,,10.0,281.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-06-03,12:00:00,1433307600,2.6,-2.9,9.5,,,10.1,162.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-06-04,12:00:00,1433394000,2.2,-1.7,7.9,,,14.0,300.0,,Rain,Precipitation,1.4,0.0,Australia
Canberra,AU,2015-06-05,12:00:00,1433480400,3.9,-1.1,10.5,,,9.7,270.0,,Rain,Precipitation,1.0,0.0,Australia
Canberra,AU,2015-06-06,12:00:00,1433566800,4.4,-0.4,11.2,,,10.5,305.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-06-07,12:00:00,1433653200,4.9,-1.6,11.1,,,17.0,288.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-06-08,12:00:00,1433739600,7.4,3.5,11.5,,,26.1,305.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-06-09,12:00:00,1433826000,7.2,2.0,9.8,,,20.6,298.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-06-10,12:00:00,1433912400,5.6,1.1,10.7,,,12.2,127.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-06-11,12:00:00,1433998800,4.9,-1.8,11.9,,,9.3,140.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-06-12,12:00:00,1434085200,5.2,-2.0,13.3,,,11.5,137.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-06-13,12:00:00,1434171600,7.4,3.2,13.5,,,8.7,205.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-06-14,12:00:00,1434258000,6.3,-0.4,13.7,,,9.0,135.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-06-15,12:00:00,1434344400,8.2,4.4,11.3,,,16.9,112.0,,Rain,Precipitation,0.8,0.0,Australia
Canberra,AU,2015-06-16,12:00:00,1434430800,10.5,9.5,11.5,,,10.5,32.0,,Rain,Precipitation,10.3,0.0,Australia
Canberra,AU,2015-06-17,12:00:00,1434517200,9.9,8.6,11.0,,,16.2,353.0,,Rain,Precipitation,25.0,0.0,Australia
Canberra,AU,2015-06-18,12:00:00,1434603600,7.9,5.4,9.0,,,14.4,146.0,,Rain,Precipitation,29.0,0.0,Australia
Canberra,AU,2015-06-19,12:00:00,1434690000,5.9,2.5,10.0,,,9.7,170.0,,Rain,Precipitation,1.2,0.0,Australia
Canberra,AU,2015-06-20,12:00:00,1434776400,4.9,1.0,9.7,,,9.9,140.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-06-21,12:00:00,1434862800,3.6,-1.6,9.6,,,6.9,152.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-06-22,12:00:00,1434949200,3.3,-0.7,9.5,,,10.8,252.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-06-23,12:00:00,1435035600,4.8,-0.7,10.9,,,12.0,321.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-06-24,12:00:00,1435122000,7.3,3.4,11.1,,,10.0,305.0,,Rain,Precipitation,0.3,0.0,Australia
Canberra,AU,2015-06-25,12:00:00,1435208400,6.7,1.0,13.2,,,11.9,269.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-06-26,12:00:00,1435294800,6.7,1.3,11.9,,,7.0,200.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-06-27,12:00:00,1435381200,4.1,-1.2,11.1,,,14.7,295.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-06-28,12:00:00,1435467600,3.8,-1.4,10.1,,,9.3,269.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-06-29,12:00:00,1435554000,4.0,-0.9,10.5,,,9.3,145.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-06-30,12:00:00,1435640400,3.9,0.7,9.1,,,15.1,290.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-07-01,12:00:00,1435726800,2.5,-0.6,8.3,,,14.3,290.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-07-02,12:00:00,1435813200,2.0,-2.2,5.8,,,26.8,289.0,,Rain,Precipitation,0.2,0.0,Australia
Canberra,AU,2015-07-03,12:00:00,1435899600,0.4,-3.9,7.1,,,12.8,300.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-07-04,12:00:00,1435986000,0.9,-2.8,7.6,,,15.4,303.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-07-05,12:00:00,1436072400,2.1,-1.5,9.5,,,9.8,319.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-07-06,12:00:00,1436158800,1.4,-2.4,7.3,,,16.3,293.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-07-07,12:00:00,1436245200,3.8,-1.9,9.7,,,10.2,27.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-07-08,12:00:00,1436331600,3.5,-1.5,8.5,,,10.0,124.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-07-09,12:00:00,1436418000,4.5,1.4,9.6,,,8.4,132.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-07-10,12:00:00,1436504400,5.7,3.9,7.2,,,15.0,350.0,,Rain,Precipitation,10.4,0.0,Australia
Canberra,AU,2015-07-11,12:00:00,1436590800,7.0,5.5,9.3,,,19.8,347.0,,Rain,Precipitation,7.2,0.0,Australia
Canberra,AU,2015-07-12,12:00:00,1436677200,3.5,2.2,5.6,,,25.7,290.0,,Rain,Precipitation,5.2,0.0,Australia
Canberra,AU,2015-07-13,12:00:00,1436763600,5.5,1.7,10.7,,,28.0,279.0,,Rain,Precipitation,4.1,0.0,Australia
Canberra,AU,2015-07-14,12:00:00,1436850000,4.0,1.2,5.8,,,23.0,294.0,,Clear,Clear sky,0.0,0.0,Australia
Canberra,AU,2015-07-15,12:00:00,1436936400,3.1,0.9,5.5,,,11.0,16.0,,Rain,Precipitation,5.0,0.0,Australia
Canberra,AU,2015-07-16,12:00:00,1437022800,5.1,3.1,8.1,,,16.8,147.0,,Rain,Precipitation,10.2,0.0,Australia
Canberra,AU,2015-07-17,12:00:00,1437109200,4.6,-0.2,9.4,,,13.2,267.0,,Rain,Precipitation,1.7,0.0,Australia
Canberra,AU,2015-07-18,12:00:00,1437195600,2.8,-1.9,9.1,,,13.9,158.0,,Clear,Clear sky,0.0,0.0,Australia
