city,country_code,date,time,timestamp,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,precipitation,snow,country
Brasilia,BR,2015-05-17,12:00:00,1431838800,19.4,15.4,24.0,,,17.7,105.0,,Clear,Clear sky,0.0,0.0,Brazil
Brasilia,BR,2015-05-18,12:00:00,1431925200,19.3,16.0,24.1,,,17.3,105.0,,Clear,Clear sky,0.0,0.0,Brazil
Brasilia,BR,2015-05-19,12:00:00,1432011600,18.9,15.2,23.5,,,16.9,100.0,,Clear,Clear sky,0.0,0.0,Brazil
Brasilia,BR,2015-05-20,12:00:00,1432098000,19.1,15.4,24.0,,,16.9,95.0,,Rain,Precipitation,0.2,0.0,Brazil
Brasilia,BR,2015-05-21,12:00:00,1432184400,19.3,15.7,24.1,,,22.0,94.0,,Clear,Clear sky,0.0,0.0,Brazil
Brasilia,BR,2015-05-22,12:00:00,1432270800,19.2,16.0,23.8,,,20.7,91.0,,Clear,Clear sky,0.0,0.0,Brazil
Brasilia,BR,2015-05-23,12:00:00,1432357200,18.8,13.9,23.9,,,15.6,90.0,,Clear,Clear sky,0.0,0.0,Brazil
Brasilia,BR,2015-05-24,12:00:00,1432443600,19.5,15.5,24.7,,,9.3,97.0,,Clear,Clear sky,0.0,0.0,Brazil
Brasilia,BR,2015-05-25,12:00:00,1432530000,19.9,15.4,25.5,,,10.8,106.0,,Clear,Clear sky,0.0,0.0,Brazil
Brasilia,BR,2015-05-26,12:00:00,1432616400,20.2,15.0,25.9,,,14.2,107.0,,Clear,Clear sky,0.0,0.0,Brazil
Brasilia,BR,2015-05-27,12:00:00,1432702800,21.0,15.5,26.4,,,10.4,69.0,,Clear,Clear sky,0.0,0.0,Brazil
Brasilia,BR,2015-05-28,12:00:00,1432789200,21.8,18.5,26.5,,,6.9,124.0,,Clear,Clear sky,0.0,0.0,Brazil
Brasilia,BR,2015-05-29,12:00:00,1432875600,20.4,15.6,24.9,,,9.3,125.0,,Rain,Precipitation,0.3,0.0,Brazil
Brasilia,BR,2015-05-30,12:00:00,1432962000,20.9,16.3,25.3,,,8.4,97.0,,Rain,Precipitation,0.3,0.0,Brazil
Brasilia,BR,2015-05-31,12:00:00,1433048400,21.5,16.1,27.0,,,12.4,88.0,,Clear,Clear sky,0.0,0.0,Brazil
Brasilia,BR,2015-06-01,12:00:00,1433134800,21.4,15.9,26.7,,,12.1,103.0,,Clear,Clear sky,0.0,0.0,Brazil
Brasilia,BR,2015-06-02,12:00:00,1433221200,20.9,16.4,26.0,,,15.5,94.0,,Clear,Clear sky,0.0,0.0,Brazil
Brasilia,BR,2015-06-03,12:00:00,1433307600,20.4,16.6,25.0,,,15.8,96.0,,Clear,Clear sky,0.0,0.0,Brazil
Brasilia,BR,2015-06-04,12:00:00,1433394000,19.8,15.9,24.6,,,16.6,108.0,,Clear,Clear sky,0.0,0.0,Brazil
Brasilia,BR,2015-06-05,12:00:00,1433480400,19.5,15.1,24.8,,,16.6,101.0,,Clear,Clear sky,0.0,0.0,Brazil
