city,country_code,date,time,timestamp,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,precipitation,snow,country
Ottawa,CA,2015-05-17,12:00:00,1431838800,17.6,13.1,23.3,,,9.3,337.0,,Clear,Clear sky,0.0,0.0,Canada
Ottawa,CA,2015-05-18,12:00:00,1431925200,19.7,11.2,27.6,,,16.6,167.0,,Rain,Precipitation,6.9,0.0,Canada
Ottawa,CA,2015-05-19,12:00:00,1432011600,18.9,12.4,24.5,,,23.9,258.0,,Clear,Clear sky,0.0,0.0,Canada
Ottawa,CA,2015-05-20,12:00:00,1432098000,10.1,5.4,14.5,,,22.8,299.0,,Clear,Clear sky,0.0,0.0,Canada
Ottawa,CA,2015-05-21,12:00:00,1432184400,12.8,7.4,18.6,,,16.1,247.0,,Clear,Clear sky,0.0,0.0,Canada
Ottawa,CA,2015-05-22,12:00:00,1432270800,8.6,5.1,11.3,,,20.1,321.0,,Clear,Clear sky,0.0,0.0,Canada
Ottawa,CA,2015-05-23,12:00:00,1432357200,9.2,1.6,17.2,,,19.8,251.0,,Rain,Precipitation,0.7,0.0,Canada
Ottawa,CA,2015-05-24,12:00:00,1432443600,17.7,10.2,26.0,,,23.2,251.0,,Clear,Clear sky,0.0,0.0,Canada
Ottawa,CA,2015-05-25,12:00:00,1432530000,15.8,14.8,18.3,,,12.9,182.0,,Rain,Precipitation,17.5,0.0,Canada
Ottawa,CA,2015-05-26,12:00:00,1432616400,21.8,15.5,28.2,,,21.5,230.0,,Rain,Precipitation,0.4,0.0,Canada
Ottawa,CA,2015-05-27,12:00:00,1432702800,21.4,18.3,26.8,,,20.9,209.0,,Rain,Precipitation,2.7,0.0,Canada
Ottawa,CA,2015-05-28,12:00:00,1432789200,17.7,14.3,19.9,,,20.6,286.0,,Rain,Precipitation,0.2,0.0,Canada
Ottawa,CA,2015-05-29,12:00:00,1432875600,18.7,10.2,26.0,,,11.5,157.0,,Clear,Clear sky,0.0,0.0,Canada
Ottawa,CA,2015-05-30,12:00:00,1432962000,20.7,11.9,28.0,,,22.8,237.0,,Rain,Precipitation,20.9,0.0,Canada
