city,country_code,date,time,timestamp,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,precipitation,snow,country
Beijing,CN,2015-05-17,12:00:00,1431838800,23.5,16.7,31.9,,,18.1,191.0,,Rain,Precipitation,2.8,0.0,China
Beijing,CN,2015-05-18,12:00:00,1431925200,21.8,14.7,28.7,,,21.9,330.0,,Rain,Precipitation,0.6,0.0,China
Beijing,CN,2015-05-19,12:00:00,1432011600,20.5,13.5,26.9,,,27.5,324.0,,Clear,Clear sky,0.0,0.0,China
Beijing,CN,2015-05-20,12:00:00,1432098000,22.2,13.5,29.2,,,15.8,302.0,,Clear,Clear sky,0.0,0.0,China
Beijing,CN,2015-05-21,12:00:00,1432184400,23.1,15.5,30.2,,,23.4,214.0,,Clear,Clear sky,0.0,0.0,China
Beijing,CN,2015-05-22,12:00:00,1432270800,23.0,15.2,31.1,,,13.3,172.0,,Clear,Clear sky,0.0,0.0,China
Beijing,CN,2015-05-23,12:00:00,1432357200,25.0,17.0,33.0,,,16.4,173.0,,Clear,Clear sky,0.0,0.0,China
Beijing,CN,2015-05-24,12:00:00,1432443600,26.5,18.5,34.7,,,19.4,192.0,,Clear,Clear sky,0.0,0.0,China
Beijing,CN,2015-05-25,12:00:00,1432530000,28.0,19.5,36.1,,,20.1,192.0,,Clear,Clear sky,0.0,0.0,China
Beijing,CN,2015-05-26,12:00:00,1432616400,28.9,21.0,36.5,,,22.2,192.0,,Clear,Clear sky,0.0,0.0,China
Beijing,CN,2015-05-27,12:00:00,1432702800,26.9,20.3,32.8,,,15.2,164.0,,Clear,Clear sky,0.0,0.0,China
Beijing,CN,2015-05-28,12:00:00,1432789200,26.8,20.4,34.2,,,17.6,181.0,,Rain,Precipitation,0.4,0.0,China
Beijing,CN,2015-05-29,12:00:00,1432875600,24.2,19.9,31.8,,,16.5,152.0,,Rain,Precipitation,2.7,0.0,China
Beijing,CN,2015-05-30,12:00:00,1432962000,24.7,15.8,31.7,,,19.8,177.0,,Clear,Clear sky,0.0,0.0,China
