city,country_code,date,time,timestamp,temp,temp_min,temp_max,wind_speed,wind_deg,precipitation,snow,country
Beijing,CN,2005-05-25,12:00:00,1116997200,21.7,14.3,30.2,17.9,209.0,1.6,0.0,China
Beijing,CN,2005-05-26,12:00:00,1117083600,22.1,13.6,29.1,13.5,87.0,0.0,0.0,China
Beijing,CN,2005-05-27,12:00:00,1117170000,19.6,14.1,25.4,10.9,138.0,0.2,0.0,China
Beijing,CN,2005-05-28,12:00:00,1117256400,23.9,14.9,32.1,20.4,148.0,0.0,0.0,China
Beijing,CN,2005-05-29,12:00:00,1117342800,22.6,16.1,30.6,27.9,187.0,3.3,0.0,China
Beijing,CN,2005-05-30,12:00:00,1117429200,25.0,16.0,33.7,15.1,199.0,0.0,0.0,China
Beijing,CN,2005-05-31,12:00:00,1117515600,25.5,19.7,33.1,16.9,150.0,4.6,0.0,China
Beijing,CN,2005-06-01,12:00:00,1117602000,23.3,16.9,29.3,21.3,311.0,0.0,0.0,China
Beijing,CN,2005-06-02,12:00:00,1117688400,24.7,16.3,32.3,13.9,335.0,0.0,0.0,China
Beijing,CN,2005-06-03,12:00:00,1117774800,25.8,15.3,34.1,10.5,61.0,0.0,0.0,China
Beijing,CN,2005-06-04,12:00:00,1117861200,25.5,16.3,33.1,15.3,147.0,0.0,0.0,China
Beijing,CN,2005-06-05,12:00:00,1117947600,22.4,16.8,29.9,24.0,323.0,4.1,0.0,China
Beijing,CN,2005-06-06,12:00:00,1118034000,22.8,13.5,30.9,18.0,170.0,0.0,0.0,China
Beijing,CN,2005-06-07,12:00:00,1118120400,25.8,17.4,33.1,25.9,172.0,1.7,0.0,China
Beijing,CN,2005-06-08,12:00:00,1118206800,21.0,18.4,24.5,11.4,46.0,22.9,0.0,China
Beijing,CN,2005-06-09,12:00:00,1118293200,22.0,19.3,25.4,11.5,101.0,0.3,0.0,China
Beijing,CN,2005-06-10,12:00:00,1118379600,24.3,19.1,30.1,14.2,193.0,0.0,0.0,China
Beijing,CN,2005-06-11,12:00:00,1118466000,26.1,16.9,34.6,12.0,93.0,0.0,0.0,China
Beijing,CN,2005-06-12,12:00:00,1118552400,26.5,18.0,35.7,12.4,87.0,1.5,0.0,China
Beijing,CN,2005-06-13,12:00:00,1118638800,24.5,19.3,30.7,12.5,54.0,9.6,0.0,China
Beijing,CN,2005-06-14,12:00:00,1118725200,24.9,17.5,32.5,8.1,238.0,0.8,0.0,China
Beijing,CN,2005-06-15,12:00:00,1118811600,25.9,17.5,33.3,19.1,342.0,0.0,0.0,China
Beijing,CN,2005-06-16,12:00:00,1118898000,25.8,17.4,33.5,12.1,109.0,0.0,0.0,China
Beijing,CN,2005-06-17,12:00:00,1118984400,25.1,19.4,30.9,15.7,76.0,0.0,0.0,China
Beijing,CN,2005-06-18,12:00:00,1119070800,26.0,18.8,33.0,15.8,132.0,0.0,0.0,China
Beijing,CN,2005-06-19,12:00:00,1119157200,26.9,19.3,34.6,11.5,137.0,0.3,0.0,China
Beijing,CN,2005-06-20,12:00:00,1119243600,29.5,19.7,37.2,9.0,157.0,0.0,0.0,China
Beijing,CN,2005-06-21,12:00:00,1119330000,31.4,21.5,39.8,12.9,100.0,0.0,0.0,China
Beijing,CN,2005-06-22,12:00:00,1119416400,31.2,22.3,38.9,10.7,91.0,0.0,0.0,China
Beijing,CN,2005-06-23,12:00:00,1119502800,32.4,23.6,40.7,14.0,111.0,0.0,0.0,China
Beijing,CN,2005-06-24,12:00:00,1119589200,30.3,25.3,38.0,11.4,78.0,1.4,0.0,China
Beijing,CN,2005-06-25,12:00:00,1119675600,27.9,24.5,33.4,11.6,78.0,4.4,0.0,China
Beijing,CN,2005-06-26,12:00:00,1119762000,24.3,22.2,26.9,10.9,39.0,14.0,0.0,China
Beijing,CN,2005-06-27,12:00:00,1119848400,25.1,21.2,28.9,6.5,277.0,0.4,0.0,China
Beijing,CN,2005-06-28,12:00:00,1119934800,25.4,20.1,31.9,8.6,164.0,7.4,0.0,China
Beijing,CN,2005-06-29,12:00:00,1120021200,27.2,20.6,34.0,16.3,217.0,25.2,0.0,China
Beijing,CN,2005-06-30,12:00:00,1120107600,28.3,20.1,35.1,9.0,175.0,0.0,0.0,China
Beijing,CN,2005-07-01,12:00:00,1120194000,29.4,21.2,36.3,15.8,294.0,0.0,0.0,China
Beijing,CN,2005-07-02,12:00:00,1120280400,27.4,22.0,32.0,9.1,331.0,0.0,0.0,China
Beijing,CN,2005-07-03,12:00:00,1120366800,28.4,21.3,35.2,11.3,195.0,0.0,0.0,China
Beijing,CN,2005-07-04,12:00:00,1120453200,29.7,21.8,36.9,9.6,308.0,0.0,0.0,China
Beijing,CN,2005-07-05,12:00:00,1120539600,30.4,20.5,38.5,10.9,335.0,0.0,0.0,China
Beijing,CN,2005-07-06,12:00:00,1120626000,30.4,20.4,38.3,16.1,88.0,0.0,0.0,China
Beijing,CN,2005-07-07,12:00:00,1120712400,30.2,24.0,37.5,12.7,113.0,0.0,0.0,China
Beijing,CN,2005-07-08,12:00:00,1120798800,29.0,24.8,34.1,10.0,118.0,2.3,0.0,China
Beijing,CN,2005-07-09,12:00:00,1120885200,29.0,22.8,35.5,12.9,94.0,0.7,0.0,China
Beijing,CN,2005-07-10,12:00:00,1120971600,28.1,21.1,34.0,7.9,94.0,0.0,0.0,China
Beijing,CN,2005-07-11,12:00:00,1121058000,27.4,22.5,32.7,8.0,97.0,0.3,0.0,China
Beijing,CN,2005-07-12,12:00:00,1121144400,26.7,22.4,31.5,11.8,131.0,1.0,0.0,China
Beijing,CN,2005-07-13,12:00:00,1121230800,26.1,23.0,29.9,16.3,145.0,1.9,0.0,China
Beijing,CN,2005-07-14,12:00:00,1121317200,28.1,23.5,34.3,11.0,136.0,1.2,0.0,China
Beijing,CN,2005-07-15,12:00:00,1121403600,28.3,23.9,33.6,12.6,157.0,2.8,0.0,China
Beijing,CN,2005-07-16,12:00:00,1121490000,28.2,23.0,33.8,11.7,124.0,2.6,0.0,China
Beijing,CN,2005-07-17,12:00:00,1121576400,27.7,24.4,32.3,10.4,105.0,1.9,0.0,China
Beijing,CN,2005-07-18,12:00:00,1121662800,28.0,24.4,32.2,8.8,129.0,1.5,0.0,China
Beijing,CN,2005-07-19,12:00:00,1121749200,30.1,24.8,35.7,17.4,181.0,0.0,0.0,China
Beijing,CN,2005-07-20,12:00:00,1121835600,31.5,26.2,38.8,12.2,187.0,0.5,0.0,China
Beijing,CN,2005-07-21,12:00:00,1121922000,31.5,26.8,38.5,9.3,195.0,1.6,0.0,China
Beijing,CN,2005-07-22,12:00:00,1122008400,29.7,26.8,34.7,14.4,6.0,0.0,0.0,China
Beijing,CN,2005-07-23,12:00:00,1122094800,24.2,23.1,27.0,11.7,0.0,74.6,0.0,China
Beijing,CN,2005-07-24,12:00:00,1122181200,25.7,21.9,29.3,9.7,53.0,9.1,0.0,China
Beijing,CN,2005-07-25,12:00:00,1122267600,26.5,20.5,31.8,7.9,213.0,0.0,0.0,China
Beijing,CN,2005-07-26,12:00:00,1122354000,27.6,22.7,32.7,8.3,177.0,0.0,0.0,China
Beijing,CN,2005-07-27,12:00:00,1122440400,25.5,23.1,27.6,7.3,135.0,5.0,0.0,China
Beijing,CN,2005-07-28,12:00:00,1122526800,26.2,19.7,32.5,9.4,285.0,0.0,0.0,China
Beijing,CN,2005-07-29,12:00:00,1122613200,27.0,20.5,33.2,8.4,323.0,0.0,0.0,China
Beijing,CN,2005-07-30,12:00:00,1122699600,26.5,21.5,31.8,11.2,135.0,10.3,0.0,China
Beijing,CN,2005-07-31,12:00:00,1122786000,24.8,23.1,28.2,8.8,85.0,16.4,0.0,China
Beijing,CN,2005-08-01,12:00:00,1122872400,26.5,22.8,31.5,11.2,201.0,0.8,0.0,China
Beijing,CN,2005-08-02,12:00:00,1122958800,26.4,21.2,30.8,9.3,50.0,0.0,0.0,China
Beijing,CN,2005-08-03,12:00:00,1123045200,23.7,21.8,25.8,5.9,351.0,13.4,0.0,China
Beijing,CN,2005-08-04,12:00:00,1123131600,24.8,20.2,29.8,7.0,104.0,2.1,0.0,China
Beijing,CN,2005-08-05,12:00:00,1123218000,25.0,21.4,29.3,6.6,22.0,4.3,0.0,China
Beijing,CN,2005-08-06,12:00:00,1123304400,25.5,21.3,29.6,8.7,93.0,1.5,0.0,China
Beijing,CN,2005-08-07,12:00:00,1123390800,25.8,22.9,29.7,8.1,80.0,1.0,0.0,China
Beijing,CN,2005-08-08,12:00:00,1123477200,26.9,22.6,30.7,11.0,358.0,1.3,0.0,China
Beijing,CN,2005-08-09,12:00:00,1123563600,24.5,22.2,26.8,8.9,267.0,8.1,0.0,China
Beijing,CN,2005-08-10,12:00:00,1123650000,25.9,21.3,31.3,8.7,148.0,0.0,0.0,China
Beijing,CN,2005-08-11,12:00:00,1123736400,28.4,23.0,33.6,7.6,125.0,0.1,0.0,China
Beijing,CN,2005-08-12,12:00:00,1123822800,26.3,25.1,28.3,14.0,114.0,41.9,0.0,China
Beijing,CN,2005-08-13,12:00:00,1123909200,27.4,24.7,32.1,9.2,118.0,6.9,0.0,China
Beijing,CN,2005-08-14,12:00:00,1123995600,28.6,25.4,32.9,12.9,148.0,0.1,0.0,China
Beijing,CN,2005-08-15,12:00:00,1124082000,29.2,25.3,33.5,11.5,210.0,3.1,0.0,China
Beijing,CN,2005-08-16,12:00:00,1124168400,23.4,19.0,26.8,18.7,2.0,18.6,0.0,China
Beijing,CN,2005-08-17,12:00:00,1124254800,21.6,17.9,25.5,9.4,34.0,0.5,0.0,China
Beijing,CN,2005-08-18,12:00:00,1124341200,21.9,15.2,27.9,8.9,327.0,0.0,0.0,China
Beijing,CN,2005-08-19,12:00:00,1124427600,22.1,15.0,29.0,10.9,240.0,0.0,0.0,China
Beijing,CN,2005-08-20,12:00:00,1124514000,22.2,16.0,27.9,6.9,109.0,0.0,0.0,China
Beijing,CN,2005-08-21,12:00:00,1124600400,22.9,17.1,28.7,7.4,85.0,0.0,0.0,China
Beijing,CN,2005-08-22,12:00:00,1124686800,23.9,18.2,28.5,8.9,179.0,0.0,0.0,China
Beijing,CN,2005-08-23,12:00:00,1124773200,23.1,18.5,27.4,10.5,149.0,0.4,0.0,China
Beijing,CN,2005-08-24,12:00:00,1124859600,23.3,18.0,27.7,7.6,78.0,0.0,0.0,China
Beijing,CN,2005-08-25,12:00:00,1124946000,23.0,17.1,28.3,9.8,223.0,0.0,0.0,China
Beijing,CN,2005-08-26,12:00:00,1125032400,24.0,19.0,29.1,11.0,164.0,0.0,0.0,China
Beijing,CN,2005-08-27,12:00:00,1125118800,25.3,19.3,31.0,8.3,171.0,0.0,0.0,China
Beijing,CN,2005-08-28,12:00:00,1125205200,26.6,20.7,32.6,12.9,178.0,0.0,0.0,China
Beijing,CN,2005-08-29,12:00:00,1125291600,26.7,20.9,32.8,7.6,180.0,0.0,0.0,China
Beijing,CN,2005-08-30,12:00:00,1125378000,26.5,21.1,31.8,11.0,129.0,0.2,0.0,China
Beijing,CN,2005-08-31,12:00:00,1125464400,26.3,21.4,31.5,16.3,179.0,0.0,0.0,China
Beijing,CN,2005-09-01,12:00:00,1125550800,26.3,22.1,32.1,19.0,346.0,0.0,0.0,China
Beijing,CN,2005-09-02,12:00:00,1125637200,23.0,18.2,27.5,9.6,22.0,0.0,0.0,China
Beijing,CN,2005-09-03,12:00:00,1125723600,22.5,14.1,30.1,10.2,277.0,0.0,0.0,China
Beijing,CN,2005-09-04,12:00:00,1125810000,22.9,15.5,30.6,11.0,202.0,0.0,0.0,China
Beijing,CN,2005-09-05,12:00:00,1125896400,23.1,16.8,30.5,12.0,181.0,0.0,0.0,China
Beijing,CN,2005-09-06,12:00:00,1125982800,23.0,13.9,30.3,8.2,218.0,0.0,0.0,China
Beijing,CN,2005-09-07,12:00:00,1126069200,23.4,14.0,31.4,6.5,291.0,0.0,0.0,China
Beijing,CN,2005-09-08,12:00:00,1126155600,24.3,16.2,32.1,9.7,193.0,0.0,0.0,China
Beijing,CN,2005-09-09,12:00:00,1126242000,25.3,18.7,32.4,15.5,175.0,0.0,0.0,China
Beijing,CN,2005-09-10,12:00:00,1126328400,25.7,20.3,32.4,9.6,116.0,1.2,0.0,China
Beijing,CN,2005-09-11,12:00:00,1126414800,26.2,20.8,31.8,13.8,164.0,0.0,0.0,China
Beijing,CN,2005-09-12,12:00:00,1126501200,25.7,21.0,30.4,15.6,26.0,0.0,0.0,China
Beijing,CN,2005-09-13,12:00:00,1126587600,21.9,17.0,23.6,15.2,344.0,0.0,0.0,China
Beijing,CN,2005-09-14,12:00:00,1126674000,21.6,12.3,30.2,9.5,246.0,0.0,0.0,China
Beijing,CN,2005-09-15,12:00:00,1126760400,20.1,17.8,25.4,6.8,126.0,4.5,0.0,China
Beijing,CN,2005-09-16,12:00:00,1126846800,21.6,16.5,27.7,12.7,205.0,2.9,0.0,China
Beijing,CN,2005-09-17,12:00:00,1126933200,20.8,14.8,26.5,19.9,308.0,0.0,0.0,China
Beijing,CN,2005-09-18,12:00:00,1127019600,19.9,11.1,27.7,10.5,104.0,0.0,0.0,China
Beijing,CN,2005-09-19,12:00:00,1127106000,19.7,16.8,23.2,10.7,23.0,3.0,0.0,China
Beijing,CN,2005-09-20,12:00:00,1127192400,18.3,16.6,19.8,7.2,330.0,3.4,0.0,China
Beijing,CN,2005-09-21,12:00:00,1127278800,18.3,13.5,23.5,11.3,12.0,0.0,0.0,China
Beijing,CN,2005-09-22,12:00:00,1127365200,17.4,10.2,23.9,10.9,136.0,0.0,0.0,China
Beijing,CN,2005-09-23,12:00:00,1127451600,18.9,13.7,24.5,12.7,130.0,0.0,0.0,China
Beijing,CN,2005-09-24,12:00:00,1127538000,19.7,12.4,26.6,8.0,306.0,0.0,0.0,China
Beijing,CN,2005-09-25,12:00:00,1127624400,21.2,13.7,27.9,10.5,125.0,0.2,0.0,China
Beijing,CN,2005-09-26,12:00:00,1127710800,21.2,15.9,27.5,14.5,182.0,0.0,0.0,China
Beijing,CN,2005-09-27,12:00:00,1127797200,21.2,16.3,26.6,13.4,182.0,0.0,0.0,China
Beijing,CN,2005-09-28,12:00:00,1127883600,21.3,16.8,25.3,8.8,140.0,0.0,0.0,China
Beijing,CN,2005-09-29,12:00:00,1127970000,18.6,16.9,19.7,6.9,65.0,10.4,0.0,China
Beijing,CN,2005-09-30,12:00:00,1128056400,20.2,15.9,25.9,8.4,125.0,0.0,0.0,China
Beijing,CN,2005-10-01,12:00:00,1128142800,20.8,17.1,26.2,13.4,201.0,0.0,0.0,China
Beijing,CN,2005-10-02,12:00:00,1128229200,17.7,13.6,21.6,14.8,342.0,0.0,0.0,China
Beijing,CN,2005-10-03,12:00:00,1128315600,16.8,10.6,23.5,9.9,269.0,0.0,0.0,China
Beijing,CN,2005-10-04,12:00:00,1128402000,16.9,8.6,25.6,11.4,217.0,0.0,0.0,China
Beijing,CN,2005-10-05,12:00:00,1128488400,17.9,11.6,24.9,13.6,180.0,0.0,0.0,China
Beijing,CN,2005-10-06,12:00:00,1128574800,17.4,14.6,22.2,6.8,181.0,0.6,0.0,China
Beijing,CN,2005-10-07,12:00:00,1128661200,17.2,11.1,24.0,21.1,327.0,1.0,0.0,China
Beijing,CN,2005-10-08,12:00:00,1128747600,15.5,7.8,23.1,10.8,275.0,0.0,0.0,China
Beijing,CN,2005-10-09,12:00:00,1128834000,16.4,9.9,24.6,13.2,170.0,0.0,0.0,China
Beijing,CN,2005-10-10,12:00:00,1128920400,17.4,11.5,24.7,15.3,166.0,0.0,0.0,China
Beijing,CN,2005-10-11,12:00:00,1129006800,17.7,12.9,24.0,12.7,170.0,0.0,0.0,China
Beijing,CN,2005-10-12,12:00:00,1129093200,16.9,13.7,21.0,8.0,147.0,1.9,0.0,China
Beijing,CN,2005-10-13,12:00:00,1129179600,15.5,7.9,19.9,22.3,327.0,0.5,0.0,China
Beijing,CN,2005-10-14,12:00:00,1129266000,12.1,3.7,20.2,16.9,236.0,0.0,0.0,China
Beijing,CN,2005-10-15,12:00:00,1129352400,14.0,5.1,22.4,13.5,247.0,0.0,0.0,China
Beijing,CN,2005-10-16,12:00:00,1129438800,16.1,6.8,25.5,14.4,301.0,0.0,0.0,China
Beijing,CN,2005-10-17,12:00:00,1129525200,13.7,8.0,18.3,13.7,17.0,0.0,0.0,China
Beijing,CN,2005-10-18,12:00:00,1129611600,12.8,7.1,19.7,10.2,160.0,0.0,0.0,China
Beijing,CN,2005-10-19,12:00:00,1129698000,13.9,5.5,21.8,9.8,163.0,0.0,0.0,China
Beijing,CN,2005-10-20,12:00:00,1129784400,14.4,9.2,20.9,7.7,352.0,0.0,0.0,China
Beijing,CN,2005-10-21,12:00:00,1129870800,11.2,7.1,15.6,12.2,76.0,0.0,0.0,China
Beijing,CN,2005-10-22,12:00:00,1129957200,10.0,4.4,16.8,10.1,146.0,0.0,0.0,China
Beijing,CN,2005-10-23,12:00:00,1130043600,12.9,3.6,22.9,12.6,240.0,0.0,0.0,China
Beijing,CN,2005-10-24,12:00:00,1130130000,13.6,4.7,23.7,10.8,52.0,0.0,0.0,China
Beijing,CN,2005-10-25,12:00:00,1130216400,13.2,6.6,20.0,8.7,82.0,0.0,0.0,China
Beijing,CN,2005-10-26,12:00:00,1130302800,14.0,7.7,21.2,10.2,95.0,0.0,0.0,China
Beijing,CN,2005-10-27,12:00:00,1130389200,14.2,10.4,19.6,15.6,329.0,2.4,0.0,China
Beijing,CN,2005-10-28,12:00:00,1130475600,10.4,4.8,16.5,18.6,309.0,0.0,0.0,China
Beijing,CN,2005-10-29,12:00:00,1130562000,8.9,1.4,16.3,8.1,333.0,0.0,0.0,China
Beijing,CN,2005-10-30,12:00:00,1130648400,9.4,2.4,17.6,10.5,287.0,0.0,0.0,China
Beijing,CN,2005-10-31,12:00:00,1130734800,10.7,3.4,19.8,11.8,215.0,0.0,0.0,China
Beijing,CN,2005-11-01,12:00:00,1130821200,11.5,5.3,19.3,9.2,148.0,0.0,0.0,China
Beijing,CN,2005-11-02,12:00:00,1130907600,11.8,3.2,20.0,8.6,84.0,0.0,0.0,China
Beijing,CN,2005-11-03,12:00:00,1130994000,13.4,4.9,22.1,10.5,56.0,0.0,0.0,China
Beijing,CN,2005-11-04,12:00:00,1131080400,13.6,5.1,22.6,9.8,360.0,0.0,0.0,China
Beijing,CN,2005-11-05,12:00:00,1131166800,13.2,8.1,20.3,21.3,346.0,0.9,0.0,China
Beijing,CN,2005-11-06,12:00:00,1131253200,9.5,4.6,15.5,15.9,235.0,0.0,0.0,China
Beijing,CN,2005-11-07,12:00:00,1131339600,8.0,0.6,16.3,23.5,317.0,0.0,0.0,China
Beijing,CN,2005-11-08,12:00:00,1131426000,7.0,0.5,14.5,9.6,250.0,0.0,0.0,China
Beijing,CN,2005-11-09,12:00:00,1131512400,8.0,-0.3,16.8,10.5,129.0,0.0,0.0,China
Beijing,CN,2005-11-10,12:00:00,1131598800,9.0,0.5,19.0,12.7,332.0,0.0,0.0,China
