city,country_code,date,time,timestamp,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,precipitation,snow,country
Berlin,DE,2015-05-17,12:00:00,1431838800,11.3,7.5,14.6,,,25.2,280.0,,Rain,Precipitation,0.3,0.0,Germany
Berlin,DE,2015-05-18,12:00:00,1431925200,12.7,6.3,19.3,,,11.5,159.0,,Clear,Clear sky,0.0,0.0,Germany
Berlin,DE,2015-05-19,12:00:00,1432011600,14.4,10.2,18.1,,,20.2,248.0,,Rain,Precipitation,0.3,0.0,Germany
Berlin,DE,2015-05-20,12:00:00,1432098000,13.2,9.2,17.0,,,11.3,295.0,,Clear,Clear sky,0.0,0.0,Germany
Berlin,DE,2015-05-21,12:00:00,1432184400,11.9,6.4,16.5,,,12.1,297.0,,Rain,Precipitation,0.4,0.0,Germany
Berlin,DE,2015-05-22,12:00:00,1432270800,13.4,6.7,18.4,,,9.4,256.0,,Clear,Clear sky,0.0,0.0,Germany
Berlin,DE,2015-05-23,12:00:00,1432357200,15.0,10.7,18.9,,,16.7,327.0,,Rain,Precipitation,0.1,0.0,Germany
Berlin,DE,2015-05-24,12:00:00,1432443600,13.9,7.7,19.0,,,9.5,14.0,,Clear,Clear sky,0.0,0.0,Germany
Berlin,DE,2015-05-25,12:00:00,1432530000,15.3,10.2,20.3,,,14.0,288.0,,Rain,Precipitation,0.2,0.0,Germany
Berlin,DE,2015-05-26,12:00:00,1432616400,13.2,10.3,15.8,,,16.9,312.0,,Clear,Clear sky,0.0,0.0,Germany
Berlin,DE,2015-05-27,12:00:00,1432702800,11.7,8.1,14.4,,,20.0,300.0,,Rain,Precipitation,0.4,0.0,Germany
Berlin,DE,2015-05-28,12:00:00,1432789200,13.8,7.7,19.3,,,23.8,222.0,,Rain,Precipitation,2.0,0.0,Germany
Berlin,DE,2015-05-29,12:00:00,1432875600,14.0,8.8,18.4,,,11.3,223.0,,Clear,Clear sky,0.0,0.0,Germany
Berlin,DE,2015-05-30,12:00:00,1432962000,13.8,11.0,16.9,,,24.1,251.0,,Rain,Precipitation,3.3,0.0,Germany
Berlin,DE,2015-05-31,12:00:00,1433048400,14.2,7.1,20.6,,,18.9,210.0,,Clear,Clear sky,0.0,0.0,Germany
Berlin,DE,2015-06-01,12:00:00,1433134800,14.4,10.4,16.4,,,18.3,231.0,,Rain,Precipitation,2.3,0.0,Germany
Berlin,DE,2015-06-02,12:00:00,1433221200,16.4,8.2,23.1,,,26.5,208.0,,Rain,Precipitation,0.2,0.0,Germany
Berlin,DE,2015-06-03,12:00:00,1433307600,18.6,13.8,21.3,,,25.9,259.0,,Rain,Precipitation,0.1,0.0,Germany
Berlin,DE,2015-06-04,12:00:00,1433394000,15.1,8.1,20.1,,,12.1,344.0,,Clear,Clear sky,0.0,0.0,Germany
Berlin,DE,2015-06-05,12:00:00,1433480400,19.5,11.3,27.0,,,16.3,120.0,,Clear,Clear sky,0.0,0.0,Germany
Berlin,DE,2015-06-06,12:00:00,1433566800,22.5,16.6,28.3,,,19.2,233.0,,Rain,Precipitation,0.3,0.0,Germany
Berlin,DE,2015-06-07,12:00:00,1433653200,18.7,15.4,22.2,,,15.9,349.0,,Rain,Precipitation,0.1,0.0,Germany
Berlin,DE,2015-06-08,12:00:00,1433739600,16.2,12.2,19.8,,,15.4,18.0,,Clear,Clear sky,0.0,0.0,Germany
Berlin,DE,2015-06-09,12:00:00,1433826000,15.0,10.6,18.1,,,13.3,38.0,,Clear,Clear sky,0.0,0.0,Germany
Berlin,DE,2015-06-10,12:00:00,1433912400,16.5,12.2,19.6,,,10.0,26.0,,Clear,Clear sky,0.0,0.0,Germany
Berlin,DE,2015-06-11,12:00:00,1433998800,17.3,10.0,22.7,,,9.2,51.0,,Clear,Clear sky,0.0,0.0,Germany
Berlin,DE,2015-06-12,12:00:00,1434085200,19.7,12.7,25.7,,,9.0,82.0,,Rain,Precipitation,1.4,0.0,Germany
Berlin,DE,2015-06-13,12:00:00,1434171600,22.0,13.7,30.1,,,13.1,154.0,,Rain,Precipitation,3.2,0.0,Germany
Berlin,DE,2015-06-14,12:00:00,1434258000,18.9,15.8,21.4,,,19.1,282.0,,Rain,Precipitation,0.2,0.0,Germany
Berlin,DE,2015-06-15,12:00:00,1434344400,15.3,12.4,18.6,,,15.8,339.0,,Clear,Clear sky,0.0,0.0,Germany
Berlin,DE,2015-06-16,12:00:00,1434430800,12.4,8.1,14.6,,,13.8,315.0,,Clear,Clear sky,0.0,0.0,Germany
Berlin,DE,2015-06-17,12:00:00,1434517200,14.8,7.8,20.3,,,14.2,274.0,,Clear,Clear sky,0.0,0.0,Germany
Berlin,DE,2015-06-18,12:00:00,1434603600,16.1,13.0,20.7,,,19.0,274.0,,Rain,Precipitation,4.7,0.0,Germany
Berlin,DE,2015-06-19,12:00:00,1434690000,14.4,11.2,17.6,,,21.7,275.0,,Rain,Precipitation,0.1,0.0,Germany
Berlin,DE,2015-06-20,12:00:00,1434776400,13.8,10.6,17.4,,,15.2,284.0,,Rain,Precipitation,3.1,0.0,Germany
Berlin,DE,2015-06-21,12:00:00,1434862800,14.1,9.7,18.0,,,17.2,275.0,,Clear,Clear sky,0.0,0.0,Germany
Berlin,DE,2015-06-22,12:00:00,1434949200,14.5,12.1,18.8,,,17.0,221.0,,Rain,Precipitation,8.9,0.0,Germany
Berlin,DE,2015-06-23,12:00:00,1435035600,13.1,11.0,16.8,,,17.3,261.0,,Rain,Precipitation,13.5,0.0,Germany
Berlin,DE,2015-06-24,12:00:00,1435122000,13.6,11.1,16.1,,,19.6,266.0,,Rain,Precipitation,0.5,0.0,Germany
Berlin,DE,2015-06-25,12:00:00,1435208400,16.9,12.3,21.4,,,12.8,245.0,,Clear,Clear sky,0.0,0.0,Germany
Berlin,DE,2015-06-26,12:00:00,1435294800,17.5,12.7,21.8,,,7.3,281.0,,Rain,Precipitation,1.5,0.0,Germany
Berlin,DE,2015-06-27,12:00:00,1435381200,18.6,15.0,22.9,,,13.7,235.0,,Rain,Precipitation,4.9,0.0,Germany
Berlin,DE,2015-06-28,12:00:00,1435467600,17.4,14.0,21.6,,,17.2,299.0,,Clear,Clear sky,0.0,0.0,Germany
