city,country_code,date,time,timestamp,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,precipitation,snow,country
Copenhagen,DK,2015-05-17,12:00:00,1431838800,9.1,7.1,11.7,,,34.6,274.0,,Rain,Precipitation,2.0,0.0,Denmark
Copenhagen,DK,2015-05-18,12:00:00,1431925200,9.4,6.5,12.7,,,26.6,226.0,,Rain,Precipitation,5.1,0.0,Denmark
Copenhagen,DK,2015-05-19,12:00:00,1432011600,10.7,8.1,12.8,,,27.5,205.0,,Rain,Precipitation,6.2,0.0,Denmark
Copenhagen,DK,2015-05-20,12:00:00,1432098000,10.7,6.0,14.6,,,22.6,206.0,,Rain,Precipitation,0.2,0.0,Denmark
Copenhagen,DK,2015-05-21,12:00:00,1432184400,10.2,4.9,13.7,,,14.7,243.0,,Rain,Precipitation,0.3,0.0,Denmark
Copenhagen,DK,2015-05-22,12:00:00,1432270800,10.9,5.9,14.7,,,19.1,230.0,,Clear,Clear sky,0.0,0.0,Denmark
Copenhagen,DK,2015-05-23,12:00:00,1432357200,11.2,8.2,13.4,,,23.8,294.0,,Rain,Precipitation,0.6,0.0,Denmark
Copenhagen,DK,2015-05-24,12:00:00,1432443600,10.4,5.5,15.1,,,17.8,258.0,,Clear,Clear sky,0.0,0.0,Denmark
Copenhagen,DK,2015-05-25,12:00:00,1432530000,9.8,7.7,11.5,,,14.8,263.0,,Rain,Precipitation,1.4,0.0,Denmark
Copenhagen,DK,2015-05-26,12:00:00,1432616400,10.3,6.8,13.5,,,24.6,276.0,,Rain,Precipitation,0.3,0.0,Denmark
Copenhagen,DK,2015-05-27,12:00:00,1432702800,10.8,8.3,13.6,,,28.2,288.0,,Clear,Clear sky,0.0,0.0,Denmark
Copenhagen,DK,2015-05-28,12:00:00,1432789200,10.9,5.9,15.0,,,29.8,215.0,,Rain,Precipitation,2.5,0.0,Denmark
Copenhagen,DK,2015-05-29,12:00:00,1432875600,10.9,6.7,14.0,,,24.2,215.0,,Rain,Precipitation,0.5,0.0,Denmark
Copenhagen,DK,2015-05-30,12:00:00,1432962000,10.8,8.5,12.9,,,29.3,235.0,,Rain,Precipitation,2.9,0.0,Denmark
Copenhagen,DK,2015-05-31,12:00:00,1433048400,11.3,8.0,14.8,,,26.7,219.0,,Rain,Precipitation,2.3,0.0,Denmark
Copenhagen,DK,2015-06-01,12:00:00,1433134800,12.7,8.7,14.7,,,28.5,240.0,,Rain,Precipitation,5.1,0.0,Denmark
Copenhagen,DK,2015-06-02,12:00:00,1433221200,12.0,7.5,14.8,,,37.6,191.0,,Rain,Precipitation,3.6,0.0,Denmark
Copenhagen,DK,2015-06-03,12:00:00,1433307600,14.0,10.2,15.3,,,37.3,255.0,,Rain,Precipitation,1.2,0.0,Denmark
Copenhagen,DK,2015-06-04,12:00:00,1433394000,12.5,8.3,16.4,,,26.5,284.0,,Clear,Clear sky,0.0,0.0,Denmark
Copenhagen,DK,2015-06-05,12:00:00,1433480400,13.3,5.7,18.3,,,21.1,151.0,,Clear,Clear sky,0.0,0.0,Denmark
Copenhagen,DK,2015-06-06,12:00:00,1433566800,16.4,11.5,21.0,,,29.7,229.0,,Rain,Precipitation,0.4,0.0,Denmark
Copenhagen,DK,2015-06-07,12:00:00,1433653200,13.0,8.7,16.0,,,28.5,259.0,,Clear,Clear sky,0.0,0.0,Denmark
Copenhagen,DK,2015-06-08,12:00:00,1433739600,11.5,8.7,14.3,,,20.3,289.0,,Clear,Clear sky,0.0,0.0,Denmark
Copenhagen,DK,2015-06-09,12:00:00,1433826000,12.5,5.2,18.2,,,8.6,48.0,,Rain,Precipitation,3.0,0.0,Denmark
Copenhagen,DK,2015-06-10,12:00:00,1433912400,14.2,7.8,18.5,,,20.3,266.0,,Clear,Clear sky,0.0,0.0,Denmark
Copenhagen,DK,2015-06-11,12:00:00,1433998800,13.3,10.0,16.9,,,17.7,291.0,,Clear,Clear sky,0.0,0.0,Denmark
Copenhagen,DK,2015-06-12,12:00:00,1434085200,15.6,7.9,20.9,,,10.0,223.0,,Clear,Clear sky,0.0,0.0,Denmark
Copenhagen,DK,2015-06-13,12:00:00,1434171600,16.8,10.1,22.2,,,22.0,177.0,,Rain,Precipitation,3.9,0.0,Denmark
Copenhagen,DK,2015-06-14,12:00:00,1434258000,14.2,10.2,16.2,,,25.8,285.0,,Rain,Precipitation,0.3,0.0,Denmark
Copenhagen,DK,2015-06-15,12:00:00,1434344400,11.5,8.2,14.2,,,25.1,294.0,,Rain,Precipitation,0.1,0.0,Denmark
Copenhagen,DK,2015-06-16,12:00:00,1434430800,11.8,8.8,15.5,,,19.1,288.0,,Clear,Clear sky,0.0,0.0,Denmark
Copenhagen,DK,2015-06-17,12:00:00,1434517200,11.5,7.2,14.6,,,29.0,245.0,,Rain,Precipitation,8.3,0.0,Denmark
Copenhagen,DK,2015-06-18,12:00:00,1434603600,12.7,11.2,13.9,,,28.4,273.0,,Rain,Precipitation,1.9,0.0,Denmark
Copenhagen,DK,2015-06-19,12:00:00,1434690000,12.4,10.6,14.7,,,22.1,287.0,,Rain,Precipitation,3.7,0.0,Denmark
Copenhagen,DK,2015-06-20,12:00:00,1434776400,14.7,11.4,18.4,,,22.9,319.0,,Rain,Precipitation,1.0,0.0,Denmark
Copenhagen,DK,2015-06-21,12:00:00,1434862800,13.9,11.4,16.5,,,17.6,296.0,,Clear,Clear sky,0.0,0.0,Denmark
Copenhagen,DK,2015-06-22,12:00:00,1434949200,13.0,10.4,15.8,,,17.2,181.0,,Rain,Precipitation,8.2,0.0,Denmark
Copenhagen,DK,2015-06-23,12:00:00,1435035600,13.3,9.0,16.6,,,20.1,322.0,,Rain,Precipitation,0.6,0.0,Denmark
