city,country_code,date,time,timestamp,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,precipitation,snow,country
Cairo,EG,2015-05-17,12:00:00,1431838800,24.4,14.9,34.2,,,23.0,39.0,,Clear,Clear sky,0.0,0.0,Egypt
Cairo,EG,2015-05-18,12:00:00,1431925200,26.8,17.2,36.8,,,16.3,12.0,,Clear,Clear sky,0.0,0.0,Egypt
Cairo,EG,2015-05-19,12:00:00,1432011600,27.8,17.1,37.7,,,14.4,336.0,,Clear,Clear sky,0.0,0.0,Egypt
Cairo,EG,2015-05-20,12:00:00,1432098000,27.8,19.3,36.3,,,24.7,1.0,,Clear,Clear sky,0.0,0.0,Egypt
Cairo,EG,2015-05-21,12:00:00,1432184400,24.0,17.6,30.7,,,19.3,344.0,,Clear,Clear sky,0.0,0.0,Egypt
Cairo,EG,2015-05-22,12:00:00,1432270800,24.8,16.3,32.8,,,16.2,353.0,,Clear,Clear sky,0.0,0.0,Egypt
Cairo,EG,2015-05-23,12:00:00,1432357200,27.8,17.8,36.2,,,17.2,1.0,,Clear,Clear sky,0.0,0.0,Egypt
Cairo,EG,2015-05-24,12:00:00,1432443600,31.1,21.0,40.1,,,13.3,63.0,,Clear,Clear sky,0.0,0.0,Egypt
Cairo,EG,2015-05-25,12:00:00,1432530000,31.1,22.7,40.0,,,19.4,360.0,,Rain,Precipitation,1.0,0.0,Egypt
Cairo,EG,2015-05-26,12:00:00,1432616400,30.0,20.6,38.7,,,17.2,33.0,,Clear,Clear sky,0.0,0.0,Egypt
Cairo,EG,2015-05-27,12:00:00,1432702800,35.6,27.1,45.5,,,32.6,192.0,,Clear,Clear sky,0.0,0.0,Egypt
Cairo,EG,2015-05-28,12:00:00,1432789200,28.5,21.9,35.0,,,21.2,326.0,,Clear,Clear sky,0.0,0.0,Egypt
Cairo,EG,2015-05-29,12:00:00,1432875600,24.0,18.8,29.7,,,20.0,307.0,,Clear,Clear sky,0.0,0.0,Egypt
Cairo,EG,2015-05-30,12:00:00,1432962000,23.6,17.5,29.5,,,20.5,319.0,,Clear,Clear sky,0.0,0.0,Egypt
Cairo,EG,2015-05-31,12:00:00,1433048400,24.0,16.9,30.8,,,24.4,19.0,,Clear,Clear sky,0.0,0.0,Egypt
Cairo,EG,2015-06-01,12:00:00,1433134800,23.7,16.1,30.5,,,17.0,5.0,,Clear,Clear sky,0.0,0.0,Egypt
Cairo,EG,2015-06-02,12:00:00,1433221200,25.3,17.1,33.0,,,20.2,10.0,,Clear,Clear sky,0.0,0.0,Egypt
