city,country_code,date,time,timestamp,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,precipitation,snow,country
Madrid,ES,2015-05-17,12:00:00,1431838800,20.6,11.8,28.6,,,11.6,43.0,,Clear,Clear sky,0.0,0.0,Spain
Madrid,ES,2015-05-18,12:00:00,1431925200,22.7,14.3,30.3,,,15.7,280.0,,Clear,Clear sky,0.0,0.0,Spain
Madrid,ES,2015-05-19,12:00:00,1432011600,18.3,14.0,22.8,,,21.4,19.0,,Rain,Precipitation,1.3,0.0,Spain
Madrid,ES,2015-05-20,12:00:00,1432098000,14.4,7.7,21.1,,,17.3,13.0,,Clear,Clear sky,0.0,0.0,Spain
Madrid,ES,2015-05-21,12:00:00,1432184400,14.6,8.2,21.1,,,17.0,27.0,,Clear,Clear sky,0.0,0.0,Spain
Madrid,ES,2015-05-22,12:00:00,1432270800,14.8,7.8,21.9,,,17.8,37.0,,Clear,Clear sky,0.0,0.0,Spain
Madrid,ES,2015-05-23,12:00:00,1432357200,16.0,8.9,23.0,,,17.2,39.0,,Clear,Clear sky,0.0,0.0,Spain
Madrid,ES,2015-05-24,12:00:00,1432443600,17.0,10.1,22.9,,,20.9,51.0,,Clear,Clear sky,0.0,0.0,Spain
Madrid,ES,2015-05-25,12:00:00,1432530000,18.8,12.0,24.4,,,14.6,32.0,,Clear,Clear sky,0.0,0.0,Spain
Madrid,ES,2015-05-26,12:00:00,1432616400,19.5,11.2,27.0,,,15.6,14.0,,Clear,Clear sky,0.0,0.0,Spain
Madrid,ES,2015-05-27,12:00:00,1432702800,20.4,11.9,28.3,,,15.4,42.0,,Clear,Clear sky,0.0,0.0,Spain
Madrid,ES,2015-05-28,12:00:00,1432789200,22.8,14.8,29.9,,,13.7,27.0,,Rain,Precipitation,0.1,0.0,Spain
Madrid,ES,2015-05-29,12:00:00,1432875600,22.4,15.4,30.1,,,15.3,195.0,,Rain,Precipitation,2.0,0.0,Spain
Madrid,ES,2015-05-30,12:00:00,1432962000,21.3,14.3,28.1,,,12.1,274.0,,Rain,Precipitation,0.2,0.0,Spain
Madrid,ES,2015-05-31,12:00:00,1433048400,21.7,13.5,28.1,,,8.7,327.0,,Clear,Clear sky,0.0,0.0,Spain
Madrid,ES,2015-06-01,12:00:00,1433134800,22.7,13.9,29.4,,,11.6,272.0,,Clear,Clear sky,0.0,0.0,Spain
Madrid,ES,2015-06-02,12:00:00,1433221200,24.0,15.2,30.7,,,11.9,222.0,,Clear,Clear sky,0.0,0.0,Spain
Madrid,ES,2015-06-03,12:00:00,1433307600,25.1,17.0,31.1,,,11.4,113.0,,Clear,Clear sky,0.0,0.0,Spain
Madrid,ES,2015-06-04,12:00:00,1433394000,25.2,18.1,30.9,,,10.6,139.0,,Clear,Clear sky,0.0,0.0,Spain
Madrid,ES,2015-06-05,12:00:00,1433480400,24.4,16.4,30.5,,,8.4,117.0,,Clear,Clear sky,0.0,0.0,Spain
Madrid,ES,2015-06-06,12:00:00,1433566800,24.9,16.8,31.5,,,11.5,61.0,,Clear,Clear sky,0.0,0.0,Spain
Madrid,ES,2015-06-07,12:00:00,1433653200,25.8,19.0,31.8,,,12.1,65.0,,Clear,Clear sky,0.0,0.0,Spain
Madrid,ES,2015-06-08,12:00:00,1433739600,25.3,17.2,31.4,,,9.4,83.0,,Clear,Clear sky,0.0,0.0,Spain
Madrid,ES,2015-06-09,12:00:00,1433826000,25.3,19.5,30.9,,,17.3,46.0,,Clear,Clear sky,0.0,0.0,Spain
Madrid,ES,2015-06-10,12:00:00,1433912400,22.3,18.2,26.8,,,22.7,209.0,,Rain,Precipitation,0.6,0.0,Spain
Madrid,ES,2015-06-11,12:00:00,1433998800,19.0,15.9,22.0,,,18.7,215.0,,Rain,Precipitation,7.2,0.0,Spain
Madrid,ES,2015-06-12,12:00:00,1434085200,17.5,13.3,22.1,,,18.1,220.0,,Clear,Clear sky,0.0,0.0,Spain
