city,country_code,date,time,timestamp,temp,temp_min,temp_max,wind_speed,wind_deg,precipitation,snow,country
London,GB,2005-05-25,12:00:00,1116997200,14.7,9.7,20.0,20.1,202.0,0.0,0.0,United Kingdom
London,GB,2005-05-26,12:00:00,1117083600,18.2,14.0,22.3,17.4,212.0,0.0,0.0,United Kingdom
London,GB,2005-05-27,12:00:00,1117170000,20.7,12.7,27.9,17.4,164.0,0.0,0.0,United Kingdom
London,GB,2005-05-28,12:00:00,1117256400,16.6,12.7,20.0,29.8,230.0,0.0,0.0,United Kingdom
London,GB,2005-05-29,12:00:00,1117342800,13.0,8.2,16.7,11.9,252.0,0.0,0.0,United Kingdom
London,GB,2005-05-30,12:00:00,1117429200,13.2,8.8,16.9,14.0,299.0,3.2,0.0,United Kingdom
London,GB,2005-05-31,12:00:00,1117515600,13.6,7.8,18.2,9.7,276.0,0.1,0.0,United Kingdom
London,GB,2005-06-01,12:00:00,1117602000,13.4,8.5,16.1,21.4,201.0,2.6,0.0,United Kingdom
London,GB,2005-06-02,12:00:00,1117688400,15.5,13.5,18.7,18.2,221.0,0.0,0.0,United Kingdom
London,GB,2005-06-03,12:00:00,1117774800,14.7,11.6,19.9,26.1,231.0,5.2,0.0,United Kingdom
London,GB,2005-06-04,12:00:00,1117861200,14.4,11.1,17.7,27.0,251.0,0.2,0.0,United Kingdom
London,GB,2005-06-05,12:00:00,1117947600,14.1,10.7,16.7,20.5,255.0,1.1,0.0,United Kingdom
London,GB,2005-06-06,12:00:00,1118034000,13.3,10.4,15.3,18.5,40.0,0.3,0.0,United Kingdom
London,GB,2005-06-07,12:00:00,1118120400,11.6,6.5,15.7,12.0,42.0,0.0,0.0,United Kingdom
London,GB,2005-06-08,12:00:00,1118206800,13.1,7.7,18.2,9.2,105.0,0.0,0.0,United Kingdom
London,GB,2005-06-09,12:00:00,1118293200,14.8,8.5,20.3,7.9,164.0,0.0,0.0,United Kingdom
London,GB,2005-06-10,12:00:00,1118379600,15.0,11.5,18.7,17.6,20.0,0.0,0.0,United Kingdom
London,GB,2005-06-11,12:00:00,1118466000,11.4,6.7,14.8,11.2,33.0,0.1,0.0,United Kingdom
London,GB,2005-06-12,12:00:00,1118552400,13.7,10.8,17.4,19.9,273.0,1.0,0.0,United Kingdom
London,GB,2005-06-13,12:00:00,1118638800,12.8,6.5,17.7,19.4,275.0,0.0,0.0,United Kingdom
London,GB,2005-06-14,12:00:00,1118725200,14.3,8.7,19.1,20.5,234.0,0.0,0.0,United Kingdom
London,GB,2005-06-15,12:00:00,1118811600,14.4,10.8,19.2,27.5,197.0,5.8,0.0,United Kingdom
London,GB,2005-06-16,12:00:00,1118898000,16.8,13.0,20.9,26.1,217.0,0.0,0.0,United Kingdom
London,GB,2005-06-17,12:00:00,1118984400,20.6,17.0,24.3,19.1,260.0,0.0,0.0,United Kingdom
London,GB,2005-06-18,12:00:00,1119070800,22.1,16.6,26.7,14.8,126.0,0.0,0.0,United Kingdom
London,GB,2005-06-19,12:00:00,1119157200,23.6,17.3,29.4,16.3,155.0,0.0,0.0,United Kingdom
London,GB,2005-06-20,12:00:00,1119243600,21.7,17.2,25.1,12.0,326.0,0.1,0.0,United Kingdom
London,GB,2005-06-21,12:00:00,1119330000,20.4,16.8,24.6,13.2,301.0,0.0,0.0,United Kingdom
London,GB,2005-06-22,12:00:00,1119416400,21.0,14.1,26.4,10.1,215.0,0.0,0.0,United Kingdom
London,GB,2005-06-23,12:00:00,1119502800,22.8,15.0,29.2,8.8,198.0,0.0,0.0,United Kingdom
