city,country_code,date,time,timestamp,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,precipitation,snow,country
Hong Kong,HK,2015-05-17,12:00:00,1431838800,25.9,25.1,27.7,,,24.1,195.0,,Rain,Precipitation,27.4,0.0,Hong Kong
Hong Kong,HK,2015-05-18,12:00:00,1431925200,26.9,25.0,28.8,,,20.8,195.0,,Rain,Precipitation,18.1,0.0,Hong Kong
Hong Kong,HK,2015-05-19,12:00:00,1432011600,26.9,25.9,28.2,,,21.8,199.0,,Rain,Precipitation,12.0,0.0,Hong Kong
Hong Kong,HK,2015-05-20,12:00:00,1432098000,26.2,25.2,27.4,,,15.3,191.0,,Rain,Precipitation,35.9,0.0,Hong Kong
Hong Kong,HK,2015-05-21,12:00:00,1432184400,25.4,23.6,28.5,,,16.9,125.0,,Rain,Precipitation,29.7,0.0,Hong Kong
Hong Kong,HK,2015-05-22,12:00:00,1432270800,24.7,23.6,26.0,,,19.8,106.0,,Rain,Precipitation,23.0,0.0,Hong Kong
Hong Kong,HK,2015-05-23,12:00:00,1432357200,25.2,24.6,26.3,,,12.5,160.0,,Rain,Precipitation,54.8,0.0,Hong Kong
Hong Kong,HK,2015-05-24,12:00:00,1432443600,25.4,24.4,26.8,,,10.5,216.0,,Rain,Precipitation,37.2,0.0,Hong Kong
Hong Kong,HK,2015-05-25,12:00:00,1432530000,26.4,24.5,28.3,,,17.3,162.0,,Rain,Precipitation,19.6,0.0,Hong Kong
Hong Kong,HK,2015-05-26,12:00:00,1432616400,26.0,25.2,27.4,,,15.6,161.0,,Rain,Precipitation,45.5,0.0,Hong Kong
Hong Kong,HK,2015-05-27,12:00:00,1432702800,26.9,25.3,29.2,,,18.1,181.0,,Rain,Precipitation,17.9,0.0,Hong Kong
Hong Kong,HK,2015-05-28,12:00:00,1432789200,28.2,26.9,29.9,,,21.2,196.0,,Rain,Precipitation,2.8,0.0,Hong Kong
Hong Kong,HK,2015-05-29,12:00:00,1432875600,28.7,27.4,30.5,,,21.1,194.0,,Rain,Precipitation,1.3,0.0,Hong Kong
Hong Kong,HK,2015-05-30,12:00:00,1432962000,28.5,27.0,30.2,,,18.2,204.0,,Rain,Precipitation,8.9,0.0,Hong Kong
Hong Kong,HK,2015-05-31,12:00:00,1433048400,28.2,26.4,30.4,,,13.9,197.0,,Rain,Precipitation,8.5,0.0,Hong Kong
Hong Kong,HK,2015-06-01,12:00:00,1433134800,28.0,26.5,29.7,,,18.0,176.0,,Rain,Precipitation,10.3,0.0,Hong Kong
Hong Kong,HK,2015-06-02,12:00:00,1433221200,28.4,27.1,30.2,,,20.7,184.0,,Rain,Precipitation,1.7,0.0,Hong Kong
Hong Kong,HK,2015-06-03,12:00:00,1433307600,28.7,27.2,30.5,,,18.4,199.0,,Rain,Precipitation,0.4,0.0,Hong Kong
Hong Kong,HK,2015-06-04,12:00:00,1433394000,28.6,27.0,30.6,,,17.8,212.0,,Rain,Precipitation,1.1,0.0,Hong Kong
Hong Kong,HK,2015-06-05,12:00:00,1433480400,27.7,26.3,29.7,,,17.6,236.0,,Rain,Precipitation,9.6,0.0,Hong Kong
Hong Kong,HK,2015-06-06,12:00:00,1433566800,28.1,26.2,30.0,,,16.1,193.0,,Rain,Precipitation,0.9,0.0,Hong Kong
Hong Kong,HK,2015-06-07,12:00:00,1433653200,28.7,27.2,30.4,,,21.0,188.0,,Rain,Precipitation,0.8,0.0,Hong Kong
Hong Kong,HK,2015-06-08,12:00:00,1433739600,28.7,26.9,30.8,,,21.3,193.0,,Rain,Precipitation,1.4,0.0,Hong Kong
Hong Kong,HK,2015-06-09,12:00:00,1433826000,28.9,27.5,30.6,,,20.2,203.0,,Rain,Precipitation,3.5,0.0,Hong Kong
Hong Kong,HK,2015-06-10,12:00:00,1433912400,28.7,27.3,30.2,,,18.6,193.0,,Rain,Precipitation,7.5,0.0,Hong Kong
Hong Kong,HK,2015-06-11,12:00:00,1433998800,28.7,26.9,30.8,,,17.5,199.0,,Rain,Precipitation,7.5,0.0,Hong Kong
Hong Kong,HK,2015-06-12,12:00:00,1434085200,28.5,26.7,30.9,,,15.8,201.0,,Rain,Precipitation,5.1,0.0,Hong Kong
