city,country_code,date,time,timestamp,temp,temp_min,temp_max,wind_speed,wind_deg,precipitation,snow,country
Hong Kong,HK,2005-05-25,12:00:00,1116997200,26.0,24.3,27.4,19.3,113.0,7.2,0.0,Hong Kong
Hong Kong,HK,2005-05-26,12:00:00,1117083600,25.7,24.3,27.3,22.3,122.0,4.1,0.0,Hong Kong
Hong Kong,HK,2005-05-27,12:00:00,1117170000,25.4,24.4,27.1,13.4,171.0,29.5,0.0,Hong Kong
Hong Kong,HK,2005-05-28,12:00:00,1117256400,25.1,24.3,26.8,17.2,105.0,23.2,0.0,Hong Kong
Hong Kong,HK,2005-05-29,12:00:00,1117342800,25.3,24.3,26.5,21.6,93.0,1.2,0.0,Hong Kong
Hong Kong,HK,2005-05-30,12:00:00,1117429200,25.5,24.1,27.4,19.7,95.0,0.0,0.0,Hong Kong
Hong Kong,HK,2005-05-31,12:00:00,1117515600,25.9,24.9,27.5,16.6,112.0,0.4,0.0,Hong Kong
Hong Kong,HK,2005-06-01,12:00:00,1117602000,27.2,24.4,29.9,20.7,188.0,2.7,0.0,Hong Kong
Hong Kong,HK,2005-06-02,12:00:00,1117688400,26.8,25.2,29.2,17.4,212.0,18.2,0.0,Hong Kong
Hong Kong,HK,2005-06-03,12:00:00,1117774800,27.6,26.4,30.0,12.7,204.0,27.3,0.0,Hong Kong
Hong Kong,HK,2005-06-04,12:00:00,1117861200,26.3,25.4,27.9,15.2,149.0,43.1,0.0,Hong Kong
Hong Kong,HK,2005-06-05,12:00:00,1117947600,25.7,24.8,27.1,15.4,109.0,19.3,0.0,Hong Kong
Hong Kong,HK,2005-06-06,12:00:00,1118034000,25.7,23.9,27.3,21.9,95.0,1.6,0.0,Hong Kong
Hong Kong,HK,2005-06-07,12:00:00,1118120400,25.4,24.6,26.5,21.3,99.0,4.3,0.0,Hong Kong
Hong Kong,HK,2005-06-08,12:00:00,1118206800,26.1,25.2,27.7,20.2,102.0,0.7,0.0,Hong Kong
Hong Kong,HK,2005-06-09,12:00:00,1118293200,25.8,24.5,27.5,16.8,94.0,0.1,0.0,Hong Kong
Hong Kong,HK,2005-06-10,12:00:00,1118379600,27.2,25.1,30.5,14.8,220.0,3.6,0.0,Hong Kong
Hong Kong,HK,2005-06-11,12:00:00,1118466000,28.1,26.5,30.6,18.2,224.0,4.0,0.0,Hong Kong
Hong Kong,HK,2005-06-12,12:00:00,1118552400,28.0,26.6,30.0,15.8,222.0,11.5,0.0,Hong Kong
Hong Kong,HK,2005-06-13,12:00:00,1118638800,26.8,25.5,28.4,17.3,215.0,24.1,0.0,Hong Kong
Hong Kong,HK,2005-06-14,12:00:00,1118725200,27.0,25.6,29.4,16.2,232.0,27.3,0.0,Hong Kong
Hong Kong,HK,2005-06-15,12:00:00,1118811600,26.9,26.1,28.3,13.7,202.0,50.5,0.0,Hong Kong
