city,country_code,date,time,timestamp,temp,temp_min,temp_max,wind_speed,wind_deg,precipitation,snow,country
Jakarta,ID,2005-05-25,12:00:00,1116997200,26.3,23.8,29.2,9.3,8.0,6.4,0.0,Indonesia
Jakarta,ID,2005-05-26,12:00:00,1117083600,25.9,23.8,29.1,11.9,32.0,1.8,0.0,Indonesia
Jakarta,ID,2005-05-27,12:00:00,1117170000,26.4,22.9,30.4,11.5,72.0,0.5,0.0,Indonesia
Jakarta,ID,2005-05-28,12:00:00,1117256400,26.8,23.6,30.2,9.2,87.0,0.5,0.0,Indonesia
Jakarta,ID,2005-05-29,12:00:00,1117342800,26.7,24.0,30.0,10.2,95.0,1.3,0.0,Indonesia
Jakarta,ID,2005-05-30,12:00:00,1117429200,26.7,23.5,30.1,9.7,90.0,0.0,0.0,Indonesia
Jakarta,ID,2005-05-31,12:00:00,1117515600,26.8,23.9,30.0,13.0,98.0,0.3,0.0,Indonesia
Jakarta,ID,2005-06-01,12:00:00,1117602000,26.7,23.6,30.2,10.0,90.0,0.8,0.0,Indonesia
Jakarta,ID,2005-06-02,12:00:00,1117688400,26.8,23.8,30.0,12.5,93.0,0.5,0.0,Indonesia
Jakarta,ID,2005-06-03,12:00:00,1117774800,26.6,24.3,29.9,10.4,102.0,3.7,0.0,Indonesia
Jakarta,ID,2005-06-04,12:00:00,1117861200,26.8,23.8,30.0,8.4,115.0,0.7,0.0,Indonesia
Jakarta,ID,2005-06-05,12:00:00,1117947600,26.6,23.9,30.2,9.8,112.0,1.2,0.0,Indonesia
Jakarta,ID,2005-06-06,12:00:00,1118034000,26.4,23.7,29.5,8.7,121.0,2.4,0.0,Indonesia
Jakarta,ID,2005-06-07,12:00:00,1118120400,26.3,23.6,29.7,11.6,110.0,2.9,0.0,Indonesia
Jakarta,ID,2005-06-08,12:00:00,1118206800,26.0,23.9,29.5,10.5,90.0,11.3,0.0,Indonesia
Jakarta,ID,2005-06-09,12:00:00,1118293200,26.6,23.5,30.4,14.4,106.0,0.3,0.0,Indonesia
Jakarta,ID,2005-06-10,12:00:00,1118379600,26.8,23.2,30.7,15.4,88.0,0.0,0.0,Indonesia
Jakarta,ID,2005-06-11,12:00:00,1118466000,26.7,22.5,31.2,13.8,100.0,0.3,0.0,Indonesia
Jakarta,ID,2005-06-12,12:00:00,1118552400,26.4,23.7,30.5,8.1,272.0,9.1,0.0,Indonesia
Jakarta,ID,2005-06-13,12:00:00,1118638800,26.2,23.4,29.5,9.4,8.0,3.6,0.0,Indonesia
Jakarta,ID,2005-06-14,12:00:00,1118725200,26.0,23.4,29.4,8.0,118.0,5.8,0.0,Indonesia
Jakarta,ID,2005-06-15,12:00:00,1118811600,25.4,23.2,28.0,8.4,234.0,5.0,0.0,Indonesia
Jakarta,ID,2005-06-16,12:00:00,1118898000,25.6,23.2,28.9,8.2,193.0,4.5,0.0,Indonesia
Jakarta,ID,2005-06-17,12:00:00,1118984400,25.6,22.6,29.1,11.4,101.0,3.3,0.0,Indonesia
Jakarta,ID,2005-06-18,12:00:00,1119070800,25.7,23.0,28.6,9.1,66.0,4.2,0.0,Indonesia
Jakarta,ID,2005-06-19,12:00:00,1119157200,26.1,23.8,28.7,9.0,345.0,2.3,0.0,Indonesia
Jakarta,ID,2005-06-20,12:00:00,1119243600,25.8,23.3,29.0,9.2,239.0,6.7,0.0,Indonesia
Jakarta,ID,2005-06-21,12:00:00,1119330000,26.0,23.4,29.8,8.9,216.0,5.1,0.0,Indonesia
Jakarta,ID,2005-06-22,12:00:00,1119416400,25.5,23.3,28.4,7.9,234.0,3.0,0.0,Indonesia
Jakarta,ID,2005-06-23,12:00:00,1119502800,25.8,22.7,29.6,8.4,224.0,0.4,0.0,Indonesia
Jakarta,ID,2005-06-24,12:00:00,1119589200,25.7,23.5,29.6,6.5,124.0,6.7,0.0,Indonesia
Jakarta,ID,2005-06-25,12:00:00,1119675600,26.0,22.3,30.0,10.2,115.0,1.2,0.0,Indonesia
Jakarta,ID,2005-06-26,12:00:00,1119762000,26.1,22.6,30.1,9.7,115.0,1.5,0.0,Indonesia
Jakarta,ID,2005-06-27,12:00:00,1119848400,26.2,23.2,29.6,10.5,107.0,0.4,0.0,Indonesia
Jakarta,ID,2005-06-28,12:00:00,1119934800,26.3,22.5,29.9,8.2,96.0,0.4,0.0,Indonesia
Jakarta,ID,2005-06-29,12:00:00,1120021200,26.2,23.0,30.2,7.9,112.0,1.0,0.0,Indonesia
Jakarta,ID,2005-06-30,12:00:00,1120107600,25.8,23.2,29.7,8.4,116.0,3.9,0.0,Indonesia
Jakarta,ID,2005-07-01,12:00:00,1120194000,25.9,22.9,29.3,11.0,104.0,0.5,0.0,Indonesia
Jakarta,ID,2005-07-02,12:00:00,1120280400,26.0,21.9,30.0,9.3,37.0,0.2,0.0,Indonesia
Jakarta,ID,2005-07-03,12:00:00,1120366800,26.3,23.3,29.7,8.7,73.0,0.3,0.0,Indonesia
Jakarta,ID,2005-07-04,12:00:00,1120453200,26.2,22.1,30.0,9.6,282.0,0.0,0.0,Indonesia
Jakarta,ID,2005-07-05,12:00:00,1120539600,26.4,22.6,29.8,8.1,85.0,0.0,0.0,Indonesia
Jakarta,ID,2005-07-06,12:00:00,1120626000,26.0,22.8,30.1,10.5,90.0,6.0,0.0,Indonesia
Jakarta,ID,2005-07-07,12:00:00,1120712400,25.5,23.1,28.4,11.4,100.0,2.3,0.0,Indonesia
Jakarta,ID,2005-07-08,12:00:00,1120798800,26.0,23.5,29.6,12.6,91.0,2.1,0.0,Indonesia
Jakarta,ID,2005-07-09,12:00:00,1120885200,26.1,23.3,29.7,12.0,100.0,1.7,0.0,Indonesia
Jakarta,ID,2005-07-10,12:00:00,1120971600,26.0,23.8,28.1,13.9,91.0,2.9,0.0,Indonesia
Jakarta,ID,2005-07-11,12:00:00,1121058000,25.6,22.9,29.4,8.2,113.0,10.5,0.0,Indonesia
Jakarta,ID,2005-07-12,12:00:00,1121144400,25.5,22.2,29.4,7.6,175.0,6.8,0.0,Indonesia
Jakarta,ID,2005-07-13,12:00:00,1121230800,25.7,22.7,29.5,12.0,92.0,1.5,0.0,Indonesia
Jakarta,ID,2005-07-14,12:00:00,1121317200,25.5,22.8,28.5,9.8,63.0,5.1,0.0,Indonesia
Jakarta,ID,2005-07-15,12:00:00,1121403600,25.4,23.0,28.3,9.8,84.0,6.0,0.0,Indonesia
Jakarta,ID,2005-07-16,12:00:00,1121490000,25.4,22.3,28.8,9.4,258.0,3.0,0.0,Indonesia
Jakarta,ID,2005-07-17,12:00:00,1121576400,25.8,23.9,29.0,10.9,110.0,2.0,0.0,Indonesia
Jakarta,ID,2005-07-18,12:00:00,1121662800,25.6,22.5,28.3,14.7,97.0,1.6,0.0,Indonesia
Jakarta,ID,2005-07-19,12:00:00,1121749200,26.1,22.1,30.1,10.9,101.0,0.0,0.0,Indonesia
Jakarta,ID,2005-07-20,12:00:00,1121835600,26.0,22.3,30.0,7.1,241.0,0.0,0.0,Indonesia
Jakarta,ID,2005-07-21,12:00:00,1121922000,26.5,23.5,29.6,7.1,77.0,0.0,0.0,Indonesia
Jakarta,ID,2005-07-22,12:00:00,1122008400,26.4,23.3,29.9,6.2,91.0,1.0,0.0,Indonesia
