city,country_code,date,time,timestamp,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,precipitation,snow,country
Dublin,IE,2015-05-17,12:00:00,1431838800,10.3,8.3,13.0,,,25.0,244.0,,Rain,Precipitation,2.3,0.0,Ireland
Dublin,IE,2015-05-18,12:00:00,1431925200,9.2,7.5,11.9,,,27.8,255.0,,Rain,Precipitation,3.6,0.0,Ireland
Dublin,IE,2015-05-19,12:00:00,1432011600,8.7,6.4,11.5,,,31.0,290.0,,Rain,Precipitation,1.7,0.0,Ireland
Dublin,IE,2015-05-20,12:00:00,1432098000,10.0,6.1,14.1,,,23.0,288.0,,Rain,Precipitation,0.3,0.0,Ireland
Dublin,IE,2015-05-21,12:00:00,1432184400,11.6,7.5,15.5,,,18.6,257.0,,Rain,Precipitation,0.3,0.0,Ireland
Dublin,IE,2015-05-22,12:00:00,1432270800,13.2,10.8,15.6,,,20.9,278.0,,Rain,Precipitation,0.6,0.0,Ireland
Dublin,IE,2015-05-23,12:00:00,1432357200,12.4,8.6,16.4,,,14.3,244.0,,Clear,Clear sky,0.0,0.0,Ireland
Dublin,IE,2015-05-24,12:00:00,1432443600,12.3,9.7,14.0,,,17.8,288.0,,Clear,Clear sky,0.0,0.0,Ireland
Dublin,IE,2015-05-25,12:00:00,1432530000,12.2,9.8,14.7,,,16.3,293.0,,Clear,Clear sky,0.0,0.0,Ireland
Dublin,IE,2015-05-26,12:00:00,1432616400,12.2,10.3,14.9,,,16.8,307.0,,Clear,Clear sky,0.0,0.0,Ireland
Dublin,IE,2015-05-27,12:00:00,1432702800,10.1,7.7,12.0,,,29.1,244.0,,Rain,Precipitation,4.5,0.0,Ireland
Dublin,IE,2015-05-28,12:00:00,1432789200,10.3,7.3,13.3,,,26.5,266.0,,Rain,Precipitation,0.6,0.0,Ireland
Dublin,IE,2015-05-29,12:00:00,1432875600,9.6,7.0,12.6,,,24.9,290.0,,Rain,Precipitation,3.9,0.0,Ireland
Dublin,IE,2015-05-30,12:00:00,1432962000,9.4,5.8,12.3,,,24.7,204.0,,Rain,Precipitation,4.1,0.0,Ireland
Dublin,IE,2015-05-31,12:00:00,1433048400,10.4,7.8,12.4,,,29.5,265.0,,Rain,Precipitation,3.5,0.0,Ireland
Dublin,IE,2015-06-01,12:00:00,1433134800,8.9,6.4,11.4,,,43.6,213.0,,Rain,Precipitation,8.0,0.0,Ireland
Dublin,IE,2015-06-02,12:00:00,1433221200,10.8,7.6,14.3,,,35.1,246.0,,Rain,Precipitation,0.1,0.0,Ireland
Dublin,IE,2015-06-03,12:00:00,1433307600,11.6,7.9,14.4,,,18.4,247.0,,Clear,Clear sky,0.0,0.0,Ireland
Dublin,IE,2015-06-04,12:00:00,1433394000,12.4,9.5,14.4,,,19.2,168.0,,Clear,Clear sky,0.0,0.0,Ireland
Dublin,IE,2015-06-05,12:00:00,1433480400,12.9,10.8,15.6,,,26.2,222.0,,Rain,Precipitation,3.3,0.0,Ireland
Dublin,IE,2015-06-06,12:00:00,1433566800,11.6,9.0,14.6,,,39.8,246.0,,Clear,Clear sky,0.0,0.0,Ireland
Dublin,IE,2015-06-07,12:00:00,1433653200,11.3,7.5,14.0,,,17.7,292.0,,Rain,Precipitation,0.2,0.0,Ireland
Dublin,IE,2015-06-08,12:00:00,1433739600,10.6,7.8,12.7,,,15.6,12.0,,Rain,Precipitation,0.1,0.0,Ireland
Dublin,IE,2015-06-09,12:00:00,1433826000,11.0,7.2,14.3,,,13.3,40.0,,Clear,Clear sky,0.0,0.0,Ireland
Dublin,IE,2015-06-10,12:00:00,1433912400,11.8,8.4,14.8,,,13.9,39.0,,Clear,Clear sky,0.0,0.0,Ireland
Dublin,IE,2015-06-11,12:00:00,1433998800,12.4,9.1,15.3,,,14.4,56.0,,Rain,Precipitation,0.5,0.0,Ireland
Dublin,IE,2015-06-12,12:00:00,1434085200,13.6,10.6,16.4,,,14.8,24.0,,Rain,Precipitation,0.2,0.0,Ireland
Dublin,IE,2015-06-13,12:00:00,1434171600,12.9,10.5,16.4,,,17.9,334.0,,Clear,Clear sky,0.0,0.0,Ireland
Dublin,IE,2015-06-14,12:00:00,1434258000,11.8,9.3,14.3,,,18.8,342.0,,Clear,Clear sky,0.0,0.0,Ireland
