city,country_code,date,time,timestamp,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,precipitation,snow,country
Jerusalem,IL,2015-05-17,12:00:00,1431838800,23.3,15.3,30.8,,,14.5,56.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-05-18,12:00:00,1431925200,26.1,18.6,33.5,,,18.9,80.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-05-19,12:00:00,1432011600,26.8,20.9,34.8,,,16.3,100.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-05-20,12:00:00,1432098000,23.7,16.1,31.6,,,19.0,314.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-05-21,12:00:00,1432184400,20.0,14.6,26.1,,,21.2,313.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-05-22,12:00:00,1432270800,18.8,13.3,24.8,,,18.0,295.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-05-23,12:00:00,1432357200,20.3,14.7,27.3,,,16.5,278.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-05-24,12:00:00,1432443600,23.1,13.5,31.6,,,18.9,324.0,,Rain,Precipitation,0.1,0.0,Israel
Jerusalem,IL,2015-05-25,12:00:00,1432530000,26.1,18.1,33.8,,,14.6,279.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-05-26,12:00:00,1432616400,24.9,17.6,32.3,,,16.2,335.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-05-27,12:00:00,1432702800,28.3,18.8,37.5,,,17.9,191.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-05-28,12:00:00,1432789200,25.4,18.8,30.4,,,22.0,294.0,,Rain,Precipitation,0.2,0.0,Israel
Jerusalem,IL,2015-05-29,12:00:00,1432875600,19.4,15.8,24.2,,,20.0,278.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-05-30,12:00:00,1432962000,18.4,13.8,23.2,,,19.0,280.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-05-31,12:00:00,1433048400,19.0,13.0,25.6,,,19.5,335.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-01,12:00:00,1433134800,20.3,14.2,27.7,,,20.0,319.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-02,12:00:00,1433221200,20.9,14.7,27.6,,,12.7,280.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-03,12:00:00,1433307600,21.5,13.5,29.4,,,17.9,319.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-04,12:00:00,1433394000,20.1,13.9,27.0,,,17.6,309.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-05,12:00:00,1433480400,19.1,13.0,25.6,,,20.2,308.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-06,12:00:00,1433566800,20.4,14.1,27.0,,,15.4,310.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-07,12:00:00,1433653200,22.2,14.6,30.1,,,14.2,337.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-08,12:00:00,1433739600,26.7,17.8,35.2,,,9.4,74.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-09,12:00:00,1433826000,25.0,19.6,30.7,,,19.4,288.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-10,12:00:00,1433912400,20.9,16.3,27.0,,,20.6,308.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-11,12:00:00,1433998800,20.2,15.3,26.7,,,20.2,309.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-12,12:00:00,1434085200,20.6,14.9,27.2,,,18.4,325.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-13,12:00:00,1434171600,20.8,14.8,27.4,,,19.1,315.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-14,12:00:00,1434258000,20.8,14.8,27.1,,,16.6,305.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-15,12:00:00,1434344400,21.4,15.0,28.3,,,19.4,305.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-16,12:00:00,1434430800,22.4,15.5,29.2,,,16.8,300.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-17,12:00:00,1434517200,23.5,16.2,30.6,,,16.6,292.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-18,12:00:00,1434603600,24.5,17.2,31.7,,,18.7,281.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-19,12:00:00,1434690000,24.1,19.3,30.2,,,22.2,269.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-20,12:00:00,1434776400,21.3,17.5,26.6,,,21.3,284.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-21,12:00:00,1434862800,20.9,15.9,27.0,,,17.8,299.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-22,12:00:00,1434949200,21.6,15.6,28.7,,,18.8,316.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-23,12:00:00,1435035600,21.1,14.9,28.0,,,19.7,296.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-24,12:00:00,1435122000,20.6,15.4,26.4,,,22.2,293.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-25,12:00:00,1435208400,20.5,15.6,26.3,,,20.2,276.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-26,12:00:00,1435294800,21.8,16.9,27.6,,,21.4,259.0,,Clear,Clear sky,0.0,0.0,Israel
Jerusalem,IL,2015-06-27,12:00:00,1435381200,24.2,16.8,31.7,,,10.4,203.0,,Clear,Clear sky,0.0,0.0,Israel
