city,country_code,date,time,timestamp,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,precipitation,snow,country
Tokyo,JP,2015-05-17,12:00:00,1431838800,20.6,17.9,25.0,,,22.5,170.0,,Rain,Precipitation,1.5,0.0,Japan
Tokyo,JP,2015-05-18,12:00:00,1431925200,20.2,16.1,23.6,,,25.2,171.0,,Rain,Precipitation,1.8,0.0,Japan
Tokyo,JP,2015-05-19,12:00:00,1432011600,20.2,18.4,23.5,,,14.2,195.0,,Rain,Precipitation,3.7,0.0,Japan
Tokyo,JP,2015-05-20,12:00:00,1432098000,20.9,18.6,25.1,,,10.9,65.0,,Rain,Precipitation,2.1,0.0,Japan
Tokyo,JP,2015-05-21,12:00:00,1432184400,18.7,15.1,23.1,,,24.3,327.0,,Rain,Precipitation,22.6,0.0,Japan
Tokyo,JP,2015-05-22,12:00:00,1432270800,18.2,13.8,22.3,,,29.4,195.0,,Clear,Clear sky,0.0,0.0,Japan
Tokyo,JP,2015-05-23,12:00:00,1432357200,18.9,13.2,23.7,,,22.0,190.0,,Clear,Clear sky,0.0,0.0,Japan
Tokyo,JP,2015-05-24,12:00:00,1432443600,19.7,16.7,23.7,,,13.0,183.0,,Clear,Clear sky,0.0,0.0,Japan
Tokyo,JP,2015-05-25,12:00:00,1432530000,19.7,14.3,24.7,,,19.8,67.0,,Clear,Clear sky,0.0,0.0,Japan
Tokyo,JP,2015-05-26,12:00:00,1432616400,20.7,14.8,26.5,,,17.0,273.0,,Clear,Clear sky,0.0,0.0,Japan
Tokyo,JP,2015-05-27,12:00:00,1432702800,22.3,16.2,28.5,,,18.0,87.0,,Clear,Clear sky,0.0,0.0,Japan
Tokyo,JP,2015-05-28,12:00:00,1432789200,20.8,17.4,25.2,,,18.4,142.0,,Rain,Precipitation,0.1,0.0,Japan
Tokyo,JP,2015-05-29,12:00:00,1432875600,20.3,19.1,21.5,,,25.2,21.0,,Rain,Precipitation,9.5,0.0,Japan
Tokyo,JP,2015-05-30,12:00:00,1432962000,22.3,19.4,26.4,,,27.8,294.0,,Rain,Precipitation,0.2,0.0,Japan
Tokyo,JP,2015-05-31,12:00:00,1433048400,23.8,18.9,30.0,,,19.1,26.0,,Clear,Clear sky,0.0,0.0,Japan
Tokyo,JP,2015-06-01,12:00:00,1433134800,22.2,19.1,26.3,,,20.3,149.0,,Clear,Clear sky,0.0,0.0,Japan
Tokyo,JP,2015-06-02,12:00:00,1433221200,22.0,18.8,25.8,,,28.1,182.0,,Clear,Clear sky,0.0,0.0,Japan
Tokyo,JP,2015-06-03,12:00:00,1433307600,21.0,19.8,23.1,,,16.6,202.0,,Rain,Precipitation,27.8,0.0,Japan
Tokyo,JP,2015-06-04,12:00:00,1433394000,21.6,17.3,26.5,,,27.2,332.0,,Rain,Precipitation,0.5,0.0,Japan
Tokyo,JP,2015-06-05,12:00:00,1433480400,18.1,14.1,21.0,,,12.1,138.0,,Rain,Precipitation,12.7,0.0,Japan
Tokyo,JP,2015-06-06,12:00:00,1433566800,17.8,14.7,22.0,,,24.2,20.0,,Rain,Precipitation,16.0,0.0,Japan
