city,country_code,date,time,timestamp,temp,temp_min,temp_max,wind_speed,wind_deg,precipitation,snow,country
Tokyo,JP,2020-05-29,12:00:00,1590728400,19.5,14.5,24.5,20.3,208.0,2.0,0.0,Japan
Tokyo,JP,2020-05-30,12:00:00,1590814800,20.4,14.8,25.8,23.8,202.0,0.0,0.0,Japan
Tokyo,JP,2020-05-31,12:00:00,1590901200,20.2,18.2,22.9,25.7,188.0,0.4,0.0,Japan
Tokyo,JP,2020-06-01,12:00:00,1590987600,19.9,17.9,21.8,14.6,144.0,1.5,0.0,Japan
Tokyo,JP,2020-06-02,12:00:00,1591074000,21.5,17.6,25.3,23.6,167.0,0.7,0.0,Japan
Tokyo,JP,2020-06-03,12:00:00,1591160400,22.5,19.2,27.0,19.8,118.0,0.0,0.0,Japan
Tokyo,JP,2020-06-04,12:00:00,1591246800,22.3,18.8,26.9,23.1,152.0,0.0,0.0,Japan
Tokyo,JP,2020-06-05,12:00:00,1591333200,23.3,18.5,28.6,29.5,198.0,0.0,0.0,Japan
Tokyo,JP,2020-06-06,12:00:00,1591419600,23.5,19.8,28.0,20.4,35.0,6.3,0.0,Japan
Tokyo,JP,2020-06-07,12:00:00,1591506000,21.8,18.6,26.5,21.9,58.0,3.1,0.0,Japan
Tokyo,JP,2020-06-08,12:00:00,1591592400,22.2,18.5,26.6,26.6,169.0,4.2,0.0,Japan
Tokyo,JP,2020-06-09,12:00:00,1591678800,24.0,18.8,30.0,34.4,196.0,0.0,0.0,Japan
Tokyo,JP,2020-06-10,12:00:00,1591765200,24.5,19.1,30.7,53.3,202.0,0.2,0.0,Japan
Tokyo,JP,2020-06-11,12:00:00,1591851600,24.9,22.2,29.9,53.8,199.0,14.1,0.0,Japan
Tokyo,JP,2020-06-12,12:00:00,1591938000,25.7,22.1,29.9,29.2,231.0,5.8,0.0,Japan
Tokyo,JP,2020-06-13,12:00:00,1592024400,21.6,19.7,23.3,28.7,17.0,36.9,0.0,Japan
Tokyo,JP,2020-06-14,12:00:00,1592110800,21.7,18.8,24.7,30.8,111.0,4.9,0.0,Japan
Tokyo,JP,2020-06-15,12:00:00,1592197200,25.4,20.0,31.0,21.6,210.0,4.9,0.0,Japan
Tokyo,JP,2020-06-16,12:00:00,1592283600,23.4,19.8,27.2,30.6,234.0,0.0,0.0,Japan
Tokyo,JP,2020-06-17,12:00:00,1592370000,22.3,18.4,27.1,31.8,110.0,0.0,0.0,Japan
Tokyo,JP,2020-06-18,12:00:00,1592456400,21.2,18.5,24.5,14.2,168.0,1.5,0.0,Japan
Tokyo,JP,2020-06-19,12:00:00,1592542800,18.5,16.4,21.0,22.3,352.0,28.1,0.0,Japan
