city,country_code,date,time,timestamp,temp,temp_min,temp_max,wind_speed,wind_deg,precipitation,snow,country
Seoul,KR,2015-05-23,12:00:00,1432357200,18.6,12.0,25.0,14.1,273.0,0.0,0.0,South Korea
Seoul,KR,2015-05-24,12:00:00,1432443600,19.4,14.7,25.9,14.6,279.0,0.0,0.0,South Korea
Seoul,KR,2015-05-25,12:00:00,1432530000,19.2,11.6,27.4,14.3,232.0,0.0,0.0,South Korea
Seoul,KR,2015-05-26,12:00:00,1432616400,20.0,12.0,28.0,16.3,234.0,0.0,0.0,South Korea
Seoul,KR,2015-05-27,12:00:00,1432702800,20.8,12.0,29.3,11.3,325.0,0.0,0.0,South Korea
Seoul,KR,2015-05-28,12:00:00,1432789200,22.8,15.1,29.2,14.3,273.0,0.0,0.0,South Korea
Seoul,KR,2015-05-29,12:00:00,1432875600,22.5,16.6,28.4,14.8,268.0,0.0,0.0,South Korea
Seoul,KR,2015-05-30,12:00:00,1432962000,18.5,15.6,21.5,13.2,267.0,0.4,0.0,South Korea
Seoul,KR,2015-05-31,12:00:00,1433048400,20.0,12.7,27.9,11.9,201.0,0.0,0.0,South Korea
Seoul,KR,2015-06-01,12:00:00,1433134800,19.6,12.9,26.4,16.5,227.0,0.0,0.0,South Korea
Seoul,KR,2015-06-02,12:00:00,1433221200,21.1,15.2,28.2,18.2,263.0,0.0,0.0,South Korea
Seoul,KR,2015-06-03,12:00:00,1433307600,21.8,16.2,28.0,22.0,312.0,0.0,0.0,South Korea
Seoul,KR,2015-06-04,12:00:00,1433394000,22.6,16.2,29.4,16.2,278.0,0.0,0.0,South Korea
Seoul,KR,2015-06-05,12:00:00,1433480400,19.0,16.3,22.3,8.0,165.0,1.0,0.0,South Korea
Seoul,KR,2015-06-06,12:00:00,1433566800,20.6,13.8,27.7,12.5,186.0,0.0,0.0,South Korea
Seoul,KR,2015-06-07,12:00:00,1433653200,21.8,15.9,28.2,16.8,228.0,0.0,0.0,South Korea
Seoul,KR,2015-06-08,12:00:00,1433739600,21.5,17.3,27.1,14.8,248.0,0.0,0.0,South Korea
Seoul,KR,2015-06-09,12:00:00,1433826000,21.0,17.1,27.3,15.9,268.0,0.0,0.0,South Korea
Seoul,KR,2015-06-10,12:00:00,1433912400,23.3,16.5,31.7,15.9,237.0,0.0,0.0,South Korea
Seoul,KR,2015-06-11,12:00:00,1433998800,23.6,18.0,30.5,21.4,144.0,4.8,0.0,South Korea
Seoul,KR,2015-06-12,12:00:00,1434085200,22.3,18.2,28.1,16.8,230.0,5.7,0.0,South Korea
Seoul,KR,2015-06-13,12:00:00,1434171600,23.3,17.8,28.7,16.7,198.0,0.3,0.0,South Korea
Seoul,KR,2015-06-14,12:00:00,1434258000,22.2,19.0,26.1,10.9,245.0,2.1,0.0,South Korea
Seoul,KR,2015-06-15,12:00:00,1434344400,23.4,19.3,28.3,12.9,285.0,0.0,0.0,South Korea
Seoul,KR,2015-06-16,12:00:00,1434430800,23.1,17.7,28.6,11.9,255.0,0.1,0.0,South Korea
Seoul,KR,2015-06-17,12:00:00,1434517200,23.1,19.2,28.3,7.9,200.0,4.0,0.0,South Korea
Seoul,KR,2015-06-18,12:00:00,1434603600,24.0,19.1,29.7,13.8,84.0,0.0,0.0,South Korea
Seoul,KR,2015-06-19,12:00:00,1434690000,23.6,19.1,29.0,13.2,72.0,1.4,0.0,South Korea
Seoul,KR,2015-06-20,12:00:00,1434776400,20.6,18.2,24.3,9.7,210.0,5.8,0.0,South Korea
Seoul,KR,2015-06-21,12:00:00,1434862800,21.6,16.7,27.7,11.7,345.0,0.2,0.0,South Korea
Seoul,KR,2015-06-22,12:00:00,1434949200,22.4,17.4,27.0,13.0,253.0,0.0,0.0,South Korea
Seoul,KR,2015-06-23,12:00:00,1435035600,23.1,18.1,28.5,11.2,255.0,0.3,0.0,South Korea
Seoul,KR,2015-06-24,12:00:00,1435122000,24.3,18.9,29.4,10.7,223.0,0.0,0.0,South Korea
Seoul,KR,2015-06-25,12:00:00,1435208400,24.6,20.0,30.1,10.3,141.0,1.1,0.0,South Korea
Seoul,KR,2015-06-26,12:00:00,1435294800,20.2,19.0,21.8,17.2,22.0,18.6,0.0,South Korea
Seoul,KR,2015-06-27,12:00:00,1435381200,22.9,16.8,28.5,11.4,31.0,0.0,0.0,South Korea
Seoul,KR,2015-06-28,12:00:00,1435467600,23.6,18.2,28.3,12.7,226.0,0.0,0.0,South Korea
Seoul,KR,2015-06-29,12:00:00,1435554000,23.5,18.7,28.0,13.1,258.0,0.0,0.0,South Korea
Seoul,KR,2015-06-30,12:00:00,1435640400,24.2,20.5,28.7,10.5,242.0,0.1,0.0,South Korea
Seoul,KR,2015-07-01,12:00:00,1435726800,23.0,19.9,27.1,23.0,257.0,0.3,0.0,South Korea
Seoul,KR,2015-07-02,12:00:00,1435813200,22.8,18.8,27.7,16.3,239.0,0.0,0.0,South Korea
Seoul,KR,2015-07-03,12:00:00,1435899600,22.2,18.3,26.9,17.6,258.0,0.0,0.0,South Korea
Seoul,KR,2015-07-04,12:00:00,1435986000,22.8,16.0,28.6,11.2,192.0,0.0,0.0,South Korea
Seoul,KR,2015-07-05,12:00:00,1436072400,23.1,17.7,27.8,12.1,242.0,0.2,0.0,South Korea
Seoul,KR,2015-07-06,12:00:00,1436158800,24.3,18.4,30.0,10.5,234.0,0.0,0.0,South Korea
Seoul,KR,2015-07-07,12:00:00,1436245200,24.4,20.3,28.9,11.6,145.0,0.0,0.0,South Korea
Seoul,KR,2015-07-08,12:00:00,1436331600,23.1,19.5,28.3,15.6,84.0,1.8,0.0,South Korea
Seoul,KR,2015-07-09,12:00:00,1436418000,24.9,21.8,30.1,13.7,108.0,0.0,0.0,South Korea
Seoul,KR,2015-07-10,12:00:00,1436504400,27.5,21.4,33.6,8.4,117.0,0.0,0.0,South Korea
Seoul,KR,2015-07-11,12:00:00,1436590800,29.2,23.6,35.5,9.1,162.0,1.4,0.0,South Korea
Seoul,KR,2015-07-12,12:00:00,1436677200,24.2,23.3,25.3,28.6,103.0,51.4,0.0,South Korea
Seoul,KR,2015-07-13,12:00:00,1436763600,22.9,22.2,24.1,26.1,204.0,8.2,0.0,South Korea
Seoul,KR,2015-07-14,12:00:00,1436850000,24.4,21.4,28.6,16.6,230.0,0.0,0.0,South Korea
Seoul,KR,2015-07-15,12:00:00,1436936400,25.5,20.8,31.5,17.2,88.0,0.0,0.0,South Korea
Seoul,KR,2015-07-16,12:00:00,1437022800,22.7,19.2,26.7,18.9,68.0,0.0,0.0,South Korea
Seoul,KR,2015-07-17,12:00:00,1437109200,21.5,17.2,26.8,13.4,64.0,0.0,0.0,South Korea
Seoul,KR,2015-07-18,12:00:00,1437195600,22.4,18.3,25.4,10.8,202.0,3.2,0.0,South Korea
Seoul,KR,2015-07-19,12:00:00,1437282000,24.4,20.7,28.9,6.9,14.0,2.0,0.0,South Korea
Seoul,KR,2015-07-20,12:00:00,1437368400,26.2,21.4,31.7,7.3,80.0,0.5,0.0,South Korea
Seoul,KR,2015-07-21,12:00:00,1437454800,25.9,23.4,29.2,9.4,192.0,5.9,0.0,South Korea
Seoul,KR,2015-07-22,12:00:00,1437541200,25.4,22.7,28.6,7.3,154.0,8.9,0.0,South Korea
Seoul,KR,2015-07-23,12:00:00,1437627600,25.7,23.5,28.7,12.4,189.0,11.4,0.0,South Korea
Seoul,KR,2015-07-24,12:00:00,1437714000,24.7,23.7,27.4,15.6,194.0,28.4,0.0,South Korea
Seoul,KR,2015-07-25,12:00:00,1437800400,24.6,23.7,26.8,20.0,197.0,34.7,0.0,South Korea
Seoul,KR,2015-07-26,12:00:00,1437886800,25.4,23.3,28.9,15.5,230.0,13.3,0.0,South Korea
Seoul,KR,2015-07-27,12:00:00,1437973200,24.7,22.8,27.3,12.9,236.0,1.1,0.0,South Korea
Seoul,KR,2015-07-28,12:00:00,1438059600,26.0,23.1,30.1,12.0,238.0,1.6,0.0,South Korea
Seoul,KR,2015-07-29,12:00:00,1438146000,25.2,23.6,28.9,15.1,205.0,27.4,0.0,South Korea
Seoul,KR,2015-07-30,12:00:00,1438232400,27.4,24.8,31.3,19.4,208.0,1.0,0.0,South Korea
Seoul,KR,2015-07-31,12:00:00,1438318800,26.9,24.4,29.7,14.5,218.0,1.9,0.0,South Korea
Seoul,KR,2015-08-01,12:00:00,1438405200,26.5,23.8,30.0,13.5,187.0,7.0,0.0,South Korea
Seoul,KR,2015-08-02,12:00:00,1438491600,25.8,23.9,28.9,13.7,199.0,10.8,0.0,South Korea
Seoul,KR,2015-08-03,12:00:00,1438578000,26.7,24.4,29.9,20.8,196.0,1.0,0.0,South Korea
Seoul,KR,2015-08-04,12:00:00,1438664400,26.9,24.1,30.5,23.8,199.0,0.0,0.0,South Korea
Seoul,KR,2015-08-05,12:00:00,1438750800,27.1,24.8,30.4,16.7,217.0,1.2,0.0,South Korea
Seoul,KR,2015-08-06,12:00:00,1438837200,26.9,22.9,31.2,7.4,201.0,0.0,0.0,South Korea
Seoul,KR,2015-08-07,12:00:00,1438923600,28.0,23.6,32.6,6.6,352.0,1.5,0.0,South Korea
Seoul,KR,2015-08-08,12:00:00,1439010000,27.3,24.5,31.3,13.5,318.0,0.8,0.0,South Korea
Seoul,KR,2015-08-09,12:00:00,1439096400,25.6,22.8,29.0,10.8,276.0,0.0,0.0,South Korea
Seoul,KR,2015-08-10,12:00:00,1439182800,25.4,22.5,30.0,11.3,285.0,0.0,0.0,South Korea
