city,country_code,date,time,timestamp,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,precipitation,snow,country
Kuwait City,KW,2015-05-17,12:00:00,1431838800,31.1,24.9,37.1,,,28.0,308.0,,Clear,Clear sky,0.0,0.0,Kuwait
Kuwait City,KW,2015-05-18,12:00:00,1431925200,32.8,25.9,39.3,,,25.0,302.0,,Clear,Clear sky,0.0,0.0,Kuwait
Kuwait City,KW,2015-05-19,12:00:00,1432011600,34.2,27.8,40.3,,,24.0,310.0,,Clear,Clear sky,0.0,0.0,Kuwait
Kuwait City,KW,2015-05-20,12:00:00,1432098000,34.5,27.4,40.8,,,17.1,305.0,,Clear,Clear sky,0.0,0.0,Kuwait
Kuwait City,KW,2015-05-21,12:00:00,1432184400,34.9,28.1,41.8,,,14.8,289.0,,Clear,Clear sky,0.0,0.0,Kuwait
Kuwait City,KW,2015-05-22,12:00:00,1432270800,34.1,26.9,40.8,,,26.4,151.0,,Clear,Clear sky,0.0,0.0,Kuwait
Kuwait City,KW,2015-05-23,12:00:00,1432357200,36.1,32.5,41.5,,,23.6,293.0,,Clear,Clear sky,0.0,0.0,Kuwait
Kuwait City,KW,2015-05-24,12:00:00,1432443600,34.5,29.0,39.9,,,23.8,346.0,,Clear,Clear sky,0.0,0.0,Kuwait
Kuwait City,KW,2015-05-25,12:00:00,1432530000,34.4,28.9,39.6,,,21.9,344.0,,Clear,Clear sky,0.0,0.0,Kuwait
Kuwait City,KW,2015-05-26,12:00:00,1432616400,34.8,27.9,40.9,,,24.8,317.0,,Clear,Clear sky,0.0,0.0,Kuwait
Kuwait City,KW,2015-05-27,12:00:00,1432702800,35.7,27.2,41.7,,,26.9,306.0,,Clear,Clear sky,0.0,0.0,Kuwait
Kuwait City,KW,2015-05-28,12:00:00,1432789200,36.0,29.3,42.2,,,29.1,331.0,,Clear,Clear sky,0.0,0.0,Kuwait
Kuwait City,KW,2015-05-29,12:00:00,1432875600,37.3,30.2,43.7,,,16.9,313.0,,Clear,Clear sky,0.0,0.0,Kuwait
Kuwait City,KW,2015-05-30,12:00:00,1432962000,36.9,30.7,44.0,,,23.5,176.0,,Clear,Clear sky,0.0,0.0,Kuwait
