city,country_code,date,time,timestamp,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,precipitation,snow,country
Mexico City,MX,2015-05-17,12:00:00,1431838800,17.1,10.8,22.1,,,16.5,36.0,,Rain,Precipitation,1.0,0.0,Mexico
Mexico City,MX,2015-05-18,12:00:00,1431925200,18.3,11.8,25.1,,,18.1,30.0,,Clear,Clear sky,0.0,0.0,Mexico
Mexico City,MX,2015-05-19,12:00:00,1432011600,18.0,13.7,23.4,,,13.6,20.0,,Rain,Precipitation,0.9,0.0,Mexico
Mexico City,MX,2015-05-20,12:00:00,1432098000,18.7,13.8,25.2,,,18.3,355.0,,Rain,Precipitation,0.8,0.0,Mexico
Mexico City,MX,2015-05-21,12:00:00,1432184400,17.8,10.7,24.7,,,19.0,29.0,,Rain,Precipitation,2.0,0.0,Mexico
Mexico City,MX,2015-05-22,12:00:00,1432270800,16.3,12.8,20.5,,,17.8,18.0,,Rain,Precipitation,1.8,0.0,Mexico
Mexico City,MX,2015-05-23,12:00:00,1432357200,16.7,10.8,21.5,,,10.2,101.0,,Rain,Precipitation,0.1,0.0,Mexico
Mexico City,MX,2015-05-24,12:00:00,1432443600,16.7,12.9,21.7,,,14.8,300.0,,Rain,Precipitation,4.9,0.0,Mexico
Mexico City,MX,2015-05-25,12:00:00,1432530000,16.5,9.6,23.2,,,18.8,353.0,,Rain,Precipitation,1.6,0.0,Mexico
Mexico City,MX,2015-05-26,12:00:00,1432616400,17.5,9.6,24.3,,,19.8,34.0,,Clear,Clear sky,0.0,0.0,Mexico
Mexico City,MX,2015-05-27,12:00:00,1432702800,16.9,12.2,23.3,,,16.7,51.0,,Rain,Precipitation,7.1,0.0,Mexico
Mexico City,MX,2015-05-28,12:00:00,1432789200,16.4,12.1,21.3,,,16.6,43.0,,Rain,Precipitation,0.7,0.0,Mexico
Mexico City,MX,2015-05-29,12:00:00,1432875600,16.0,12.1,21.0,,,16.4,22.0,,Rain,Precipitation,1.0,0.0,Mexico
Mexico City,MX,2015-05-30,12:00:00,1432962000,15.0,12.7,19.0,,,14.8,4.0,,Rain,Precipitation,10.0,0.0,Mexico
Mexico City,MX,2015-05-31,12:00:00,1433048400,14.1,12.0,16.8,,,11.3,32.0,,Rain,Precipitation,1.9,0.0,Mexico
Mexico City,MX,2015-06-01,12:00:00,1433134800,14.9,11.3,18.9,,,17.3,28.0,,Rain,Precipitation,0.2,0.0,Mexico
Mexico City,MX,2015-06-02,12:00:00,1433221200,16.2,12.6,21.3,,,21.9,19.0,,Rain,Precipitation,1.5,0.0,Mexico
Mexico City,MX,2015-06-03,12:00:00,1433307600,16.8,12.5,21.0,,,14.8,15.0,,Clear,Clear sky,0.0,0.0,Mexico
Mexico City,MX,2015-06-04,12:00:00,1433394000,17.8,14.1,22.1,,,15.5,30.0,,Clear,Clear sky,0.0,0.0,Mexico
Mexico City,MX,2015-06-05,12:00:00,1433480400,17.1,14.4,20.5,,,10.0,127.0,,Rain,Precipitation,0.2,0.0,Mexico
Mexico City,MX,2015-06-06,12:00:00,1433566800,16.9,14.7,21.9,,,15.1,352.0,,Rain,Precipitation,13.0,0.0,Mexico
Mexico City,MX,2015-06-07,12:00:00,1433653200,17.2,12.2,22.1,,,18.1,11.0,,Rain,Precipitation,0.9,0.0,Mexico
Mexico City,MX,2015-06-08,12:00:00,1433739600,16.6,11.7,23.1,,,17.8,7.0,,Clear,Clear sky,0.0,0.0,Mexico
Mexico City,MX,2015-06-09,12:00:00,1433826000,16.1,10.0,23.4,,,18.4,5.0,,Clear,Clear sky,0.0,0.0,Mexico
Mexico City,MX,2015-06-10,12:00:00,1433912400,17.9,11.7,25.0,,,18.9,358.0,,Clear,Clear sky,0.0,0.0,Mexico
Mexico City,MX,2015-06-11,12:00:00,1433998800,18.8,14.8,25.1,,,22.8,12.0,,Clear,Clear sky,0.0,0.0,Mexico
Mexico City,MX,2015-06-12,12:00:00,1434085200,18.6,14.2,23.7,,,16.6,55.0,,Clear,Clear sky,0.0,0.0,Mexico
Mexico City,MX,2015-06-13,12:00:00,1434171600,17.6,14.5,21.9,,,17.1,73.0,,Rain,Precipitation,0.5,0.0,Mexico
Mexico City,MX,2015-06-14,12:00:00,1434258000,16.6,14.0,20.6,,,9.7,124.0,,Rain,Precipitation,17.8,0.0,Mexico
Mexico City,MX,2015-06-15,12:00:00,1434344400,16.4,13.4,21.0,,,9.9,152.0,,Rain,Precipitation,11.1,0.0,Mexico
Mexico City,MX,2015-06-16,12:00:00,1434430800,17.2,11.0,22.7,,,9.6,1.0,,Rain,Precipitation,2.1,0.0,Mexico
Mexico City,MX,2015-06-17,12:00:00,1434517200,16.8,11.2,23.1,,,16.0,4.0,,Rain,Precipitation,4.5,0.0,Mexico
Mexico City,MX,2015-06-18,12:00:00,1434603600,16.6,13.0,21.5,,,16.4,14.0,,Rain,Precipitation,2.4,0.0,Mexico
Mexico City,MX,2015-06-19,12:00:00,1434690000,16.4,13.2,21.6,,,12.7,61.0,,Rain,Precipitation,8.0,0.0,Mexico
Mexico City,MX,2015-06-20,12:00:00,1434776400,16.5,14.1,21.5,,,8.7,240.0,,Rain,Precipitation,9.4,0.0,Mexico
Mexico City,MX,2015-06-21,12:00:00,1434862800,16.4,11.3,22.2,,,17.7,94.0,,Rain,Precipitation,0.9,0.0,Mexico
Mexico City,MX,2015-06-22,12:00:00,1434949200,16.1,12.2,22.3,,,19.5,24.0,,Rain,Precipitation,7.3,0.0,Mexico
Mexico City,MX,2015-06-23,12:00:00,1435035600,17.0,12.6,22.1,,,16.0,50.0,,Rain,Precipitation,0.3,0.0,Mexico
Mexico City,MX,2015-06-24,12:00:00,1435122000,16.2,12.2,21.3,,,22.9,45.0,,Clear,Clear sky,0.0,0.0,Mexico
Mexico City,MX,2015-06-25,12:00:00,1435208400,15.6,12.2,20.9,,,14.3,17.0,,Rain,Precipitation,7.0,0.0,Mexico
Mexico City,MX,2015-06-26,12:00:00,1435294800,16.0,11.7,21.7,,,16.6,21.0,,Rain,Precipitation,2.6,0.0,Mexico
Mexico City,MX,2015-06-27,12:00:00,1435381200,15.9,10.8,21.3,,,15.0,32.0,,Rain,Precipitation,0.5,0.0,Mexico
Mexico City,MX,2015-06-28,12:00:00,1435467600,16.4,13.2,21.0,,,13.3,347.0,,Rain,Precipitation,2.1,0.0,Mexico
Mexico City,MX,2015-06-29,12:00:00,1435554000,15.8,12.1,20.9,,,17.1,32.0,,Rain,Precipitation,6.3,0.0,Mexico
Mexico City,MX,2015-06-30,12:00:00,1435640400,16.3,13.3,21.1,,,9.4,178.0,,Rain,Precipitation,5.9,0.0,Mexico
Mexico City,MX,2015-07-01,12:00:00,1435726800,15.5,11.5,20.2,,,13.4,55.0,,Rain,Precipitation,0.4,0.0,Mexico
