city,country_code,date,time,timestamp,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,precipitation,snow,country
Muscat,OM,2015-05-17,12:00:00,1431838800,35.1,28.6,39.6,,,17.4,271.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-05-18,12:00:00,1431925200,35.6,31.9,39.3,,,20.8,286.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-05-19,12:00:00,1432011600,32.6,27.9,35.8,,,20.2,3.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-05-20,12:00:00,1432098000,32.9,29.5,36.2,,,17.7,96.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-05-21,12:00:00,1432184400,33.1,27.0,37.9,,,18.6,155.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-05-22,12:00:00,1432270800,34.5,30.8,38.3,,,20.6,177.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-05-23,12:00:00,1432357200,34.8,30.7,39.0,,,21.1,208.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-05-24,12:00:00,1432443600,35.2,30.0,39.4,,,19.7,205.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-05-25,12:00:00,1432530000,35.3,31.1,39.4,,,19.2,203.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-05-26,12:00:00,1432616400,36.4,31.5,40.9,,,17.0,229.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-05-27,12:00:00,1432702800,35.5,30.2,39.5,,,23.4,299.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-05-28,12:00:00,1432789200,34.9,29.3,39.5,,,22.3,288.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-05-29,12:00:00,1432875600,33.3,27.6,37.6,,,20.4,69.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-05-30,12:00:00,1432962000,33.6,28.9,36.8,,,14.8,333.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-05-31,12:00:00,1433048400,35.6,28.1,39.9,,,20.9,278.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-01,12:00:00,1433134800,35.1,29.1,40.6,,,19.9,274.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-02,12:00:00,1433221200,34.9,29.3,38.4,,,14.5,264.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-03,12:00:00,1433307600,35.1,29.3,38.4,,,11.6,272.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-04,12:00:00,1433394000,34.0,29.4,37.4,,,18.3,112.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-05,12:00:00,1433480400,32.0,28.1,35.6,,,18.1,100.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-06,12:00:00,1433566800,32.4,29.0,35.4,,,14.5,310.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-07,12:00:00,1433653200,33.7,28.7,37.2,,,16.6,287.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-08,12:00:00,1433739600,33.4,27.5,37.6,,,15.3,129.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-09,12:00:00,1433826000,32.1,27.8,34.3,,,18.2,102.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-10,12:00:00,1433912400,30.9,28.1,33.6,,,19.3,93.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-11,12:00:00,1433998800,29.6,28.0,31.9,,,22.1,83.0,,Rain,Precipitation,1.8,0.0,Oman
Muscat,OM,2015-06-12,12:00:00,1434085200,28.7,27.2,30.7,,,18.8,75.0,,Rain,Precipitation,2.8,0.0,Oman
Muscat,OM,2015-06-13,12:00:00,1434171600,29.9,26.8,32.9,,,16.6,88.0,,Rain,Precipitation,0.2,0.0,Oman
Muscat,OM,2015-06-14,12:00:00,1434258000,31.0,27.1,34.3,,,13.5,95.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-15,12:00:00,1434344400,31.9,27.2,34.8,,,13.1,88.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-16,12:00:00,1434430800,32.4,27.3,35.9,,,14.8,82.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-17,12:00:00,1434517200,32.5,28.0,35.5,,,13.7,99.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-18,12:00:00,1434603600,31.9,27.5,35.2,,,14.8,90.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-19,12:00:00,1434690000,32.8,28.6,35.9,,,11.9,98.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-20,12:00:00,1434776400,33.3,30.7,35.2,,,15.6,44.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-21,12:00:00,1434862800,34.4,30.9,37.2,,,13.2,59.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-22,12:00:00,1434949200,35.1,30.5,38.3,,,14.1,143.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-23,12:00:00,1435035600,35.6,30.3,38.2,,,15.6,293.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-24,12:00:00,1435122000,35.7,30.5,39.0,,,23.4,292.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-25,12:00:00,1435208400,35.8,31.5,40.2,,,28.0,292.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-26,12:00:00,1435294800,36.5,29.7,40.8,,,28.7,286.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-27,12:00:00,1435381200,37.4,33.1,41.0,,,25.0,280.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-28,12:00:00,1435467600,34.9,29.3,39.3,,,20.3,293.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-29,12:00:00,1435554000,34.5,29.7,37.7,,,17.7,107.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-06-30,12:00:00,1435640400,33.2,28.5,36.3,,,18.7,106.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-07-01,12:00:00,1435726800,34.1,27.8,37.0,,,15.5,125.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-07-02,12:00:00,1435813200,35.1,30.9,38.1,,,17.4,175.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-07-03,12:00:00,1435899600,35.4,30.6,38.4,,,16.6,188.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-07-04,12:00:00,1435986000,35.7,31.2,38.8,,,15.6,177.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-07-05,12:00:00,1436072400,36.6,31.8,40.1,,,16.6,207.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-07-06,12:00:00,1436158800,36.6,32.6,40.8,,,19.7,218.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-07-07,12:00:00,1436245200,35.8,30.5,40.0,,,15.5,208.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-07-08,12:00:00,1436331600,35.3,31.8,38.1,,,17.0,129.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-07-09,12:00:00,1436418000,33.9,31.1,35.8,,,15.6,40.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-07-10,12:00:00,1436504400,35.3,29.8,38.4,,,14.1,95.0,,Clear,Clear sky,0.0,0.0,Oman
Muscat,OM,2015-07-11,12:00:00,1436590800,35.5,30.8,38.7,,,16.8,340.0,,Clear,Clear sky,0.0,0.0,Oman
