city,country_code,date,time,timestamp,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,precipitation,snow,country
Manila,PH,2015-05-17,12:00:00,1431838800,29.3,25.4,33.4,,,12.6,104.0,,Clear,Clear sky,0.0,0.0,Philippines
Manila,PH,2015-05-18,12:00:00,1431925200,29.3,25.2,33.8,,,15.6,211.0,,Clear,Clear sky,0.0,0.0,Philippines
Manila,PH,2015-05-19,12:00:00,1432011600,29.4,26.6,33.1,,,17.4,256.0,,Rain,Precipitation,0.2,0.0,Philippines
Manila,PH,2015-05-20,12:00:00,1432098000,29.2,25.7,32.4,,,16.1,254.0,,Rain,Precipitation,0.1,0.0,Philippines
Manila,PH,2015-05-21,12:00:00,1432184400,29.1,26.2,33.0,,,11.6,228.0,,Rain,Precipitation,1.6,0.0,Philippines
Manila,PH,2015-05-22,12:00:00,1432270800,29.2,25.9,33.1,,,10.8,214.0,,Rain,Precipitation,0.5,0.0,Philippines
Manila,PH,2015-05-23,12:00:00,1432357200,28.9,26.3,32.4,,,12.3,236.0,,Rain,Precipitation,1.4,0.0,Philippines
Manila,PH,2015-05-24,12:00:00,1432443600,29.0,26.3,32.9,,,15.8,243.0,,Rain,Precipitation,0.7,0.0,Philippines
Manila,PH,2015-05-25,12:00:00,1432530000,29.0,26.0,33.1,,,15.7,249.0,,Rain,Precipitation,0.8,0.0,Philippines
Manila,PH,2015-05-26,12:00:00,1432616400,28.6,26.1,31.8,,,13.3,270.0,,Rain,Precipitation,3.2,0.0,Philippines
Manila,PH,2015-05-27,12:00:00,1432702800,28.8,26.3,32.3,,,13.6,254.0,,Rain,Precipitation,1.3,0.0,Philippines
Manila,PH,2015-05-28,12:00:00,1432789200,29.2,26.2,32.3,,,15.0,257.0,,Rain,Precipitation,0.5,0.0,Philippines
Manila,PH,2015-05-29,12:00:00,1432875600,29.4,27.3,32.8,,,13.0,252.0,,Rain,Precipitation,2.6,0.0,Philippines
Manila,PH,2015-05-30,12:00:00,1432962000,29.1,27.1,32.3,,,14.1,248.0,,Rain,Precipitation,1.4,0.0,Philippines
Manila,PH,2015-05-31,12:00:00,1433048400,29.3,26.1,32.9,,,7.1,143.0,,Clear,Clear sky,0.0,0.0,Philippines
Manila,PH,2015-06-01,12:00:00,1433134800,30.0,26.7,34.1,,,13.5,95.0,,Clear,Clear sky,0.0,0.0,Philippines
Manila,PH,2015-06-02,12:00:00,1433221200,29.9,26.9,33.4,,,16.9,89.0,,Clear,Clear sky,0.0,0.0,Philippines
Manila,PH,2015-06-03,12:00:00,1433307600,29.4,26.5,33.5,,,7.7,68.0,,Rain,Precipitation,0.4,0.0,Philippines
Manila,PH,2015-06-04,12:00:00,1433394000,29.3,25.9,33.2,,,9.8,90.0,,Rain,Precipitation,0.3,0.0,Philippines
Manila,PH,2015-06-05,12:00:00,1433480400,29.1,26.0,32.1,,,14.4,103.0,,Rain,Precipitation,1.2,0.0,Philippines
Manila,PH,2015-06-06,12:00:00,1433566800,29.4,26.4,33.1,,,13.1,115.0,,Rain,Precipitation,0.8,0.0,Philippines
Manila,PH,2015-06-07,12:00:00,1433653200,29.7,26.3,33.9,,,9.4,102.0,,Rain,Precipitation,0.5,0.0,Philippines
Manila,PH,2015-06-08,12:00:00,1433739600,29.2,26.3,33.4,,,8.2,114.0,,Rain,Precipitation,2.0,0.0,Philippines
Manila,PH,2015-06-09,12:00:00,1433826000,28.9,26.5,32.3,,,8.2,138.0,,Rain,Precipitation,2.3,0.0,Philippines
Manila,PH,2015-06-10,12:00:00,1433912400,29.1,26.1,32.6,,,8.7,123.0,,Rain,Precipitation,1.3,0.0,Philippines
Manila,PH,2015-06-11,12:00:00,1433998800,28.7,26.1,31.2,,,8.6,108.0,,Rain,Precipitation,4.6,0.0,Philippines
Manila,PH,2015-06-12,12:00:00,1434085200,29.6,26.9,33.2,,,13.7,90.0,,Rain,Precipitation,0.2,0.0,Philippines
Manila,PH,2015-06-13,12:00:00,1434171600,29.4,26.9,32.4,,,13.5,89.0,,Rain,Precipitation,0.4,0.0,Philippines
Manila,PH,2015-06-14,12:00:00,1434258000,29.5,26.7,32.9,,,14.8,83.0,,Rain,Precipitation,0.1,0.0,Philippines
Manila,PH,2015-06-15,12:00:00,1434344400,29.7,26.9,33.4,,,17.6,90.0,,Rain,Precipitation,0.3,0.0,Philippines
Manila,PH,2015-06-16,12:00:00,1434430800,29.0,26.6,32.6,,,15.5,99.0,,Rain,Precipitation,1.3,0.0,Philippines
