city,country_code,date,time,timestamp,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,precipitation,snow,country
Lisbon,PT,2015-05-17,12:00:00,1431838800,23.8,17.6,29.7,,,24.2,18.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-05-18,12:00:00,1431925200,21.4,15.8,26.9,,,36.9,351.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-05-19,12:00:00,1432011600,16.6,14.1,20.3,,,45.9,351.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-05-20,12:00:00,1432098000,16.8,12.6,22.5,,,37.5,356.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-05-21,12:00:00,1432184400,19.2,13.6,26.4,,,31.4,8.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-05-22,12:00:00,1432270800,20.1,15.7,26.1,,,31.4,10.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-05-23,12:00:00,1432357200,20.3,15.7,26.5,,,28.5,3.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-05-24,12:00:00,1432443600,20.7,15.9,25.9,,,23.3,4.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-05-25,12:00:00,1432530000,21.1,15.6,26.2,,,19.4,353.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-05-26,12:00:00,1432616400,22.9,17.2,28.7,,,22.8,342.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-05-27,12:00:00,1432702800,24.0,17.8,30.3,,,19.6,353.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-05-28,12:00:00,1432789200,22.9,17.5,27.4,,,19.3,334.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-05-29,12:00:00,1432875600,21.3,17.2,26.4,,,31.0,343.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-05-30,12:00:00,1432962000,19.8,15.4,26.0,,,29.3,346.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-05-31,12:00:00,1433048400,18.7,14.4,24.1,,,29.1,341.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-06-01,12:00:00,1433134800,19.5,16.1,25.2,,,31.1,345.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-06-02,12:00:00,1433221200,19.2,13.3,26.6,,,26.5,351.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-06-03,12:00:00,1433307600,21.2,14.9,29.8,,,27.1,352.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-06-04,12:00:00,1433394000,22.0,15.2,29.7,,,25.3,346.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-06-05,12:00:00,1433480400,21.9,16.2,28.9,,,29.9,352.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-06-06,12:00:00,1433566800,23.0,16.9,29.8,,,22.8,350.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-06-07,12:00:00,1433653200,23.5,18.5,29.7,,,23.0,326.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-06-08,12:00:00,1433739600,24.7,18.8,29.0,,,16.5,338.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-06-09,12:00:00,1433826000,24.5,19.7,29.5,,,16.1,317.0,,Rain,Precipitation,0.6,0.0,Portugal
Lisbon,PT,2015-06-10,12:00:00,1433912400,19.8,16.9,23.5,,,19.2,272.0,,Rain,Precipitation,0.3,0.0,Portugal
Lisbon,PT,2015-06-11,12:00:00,1433998800,18.0,16.3,20.2,,,21.5,300.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-06-12,12:00:00,1434085200,17.1,14.5,20.3,,,19.0,308.0,,Clear,Clear sky,0.0,0.0,Portugal
Lisbon,PT,2015-06-13,12:00:00,1434171600,16.7,14.6,18.9,,,24.0,254.0,,Rain,Precipitation,0.2,0.0,Portugal
