city,country_code,date,time,timestamp,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,precipitation,snow,country
Stockholm,SE,2015-05-17,12:00:00,1431838800,7.1,4.0,9.7,,,15.9,12.0,,Rain,Precipitation,9.7,0.0,Sweden
Stockholm,SE,2015-05-18,12:00:00,1431925200,7.3,3.5,11.6,,,19.6,321.0,,Rain,Precipitation,6.2,0.0,Sweden
Stockholm,SE,2015-05-19,12:00:00,1432011600,7.6,5.3,10.0,,,22.7,142.0,,Rain,Precipitation,2.4,0.0,Sweden
Stockholm,SE,2015-05-20,12:00:00,1432098000,10.0,6.3,13.4,,,18.4,210.0,,Rain,Precipitation,0.2,0.0,Sweden
Stockholm,SE,2015-05-21,12:00:00,1432184400,11.2,7.2,14.6,,,12.9,227.0,,Rain,Precipitation,0.7,0.0,Sweden
Stockholm,SE,2015-05-22,12:00:00,1432270800,11.0,7.6,13.3,,,23.5,220.0,,Clear,Clear sky,0.0,0.0,Sweden
Stockholm,SE,2015-05-23,12:00:00,1432357200,11.8,8.8,14.7,,,27.4,250.0,,Rain,Precipitation,1.4,0.0,Sweden
Stockholm,SE,2015-05-24,12:00:00,1432443600,12.2,8.4,16.2,,,14.6,227.0,,Clear,Clear sky,0.0,0.0,Sweden
Stockholm,SE,2015-05-25,12:00:00,1432530000,11.5,8.8,13.8,,,19.0,207.0,,Clear,Clear sky,0.0,0.0,Sweden
Stockholm,SE,2015-05-26,12:00:00,1432616400,11.8,9.4,14.5,,,12.6,219.0,,Rain,Precipitation,0.6,0.0,Sweden
Stockholm,SE,2015-05-27,12:00:00,1432702800,11.4,7.8,15.5,,,16.6,264.0,,Rain,Precipitation,3.0,0.0,Sweden
Stockholm,SE,2015-05-28,12:00:00,1432789200,11.5,7.9,14.7,,,19.8,199.0,,Rain,Precipitation,0.5,0.0,Sweden
Stockholm,SE,2015-05-29,12:00:00,1432875600,11.2,8.6,14.1,,,22.4,215.0,,Rain,Precipitation,1.2,0.0,Sweden
Stockholm,SE,2015-05-30,12:00:00,1432962000,9.8,8.5,11.5,,,23.3,152.0,,Rain,Precipitation,12.9,0.0,Sweden
Stockholm,SE,2015-05-31,12:00:00,1433048400,10.7,7.5,14.0,,,29.9,210.0,,Rain,Precipitation,0.1,0.0,Sweden
Stockholm,SE,2015-06-01,12:00:00,1433134800,11.6,9.7,14.9,,,29.7,210.0,,Rain,Precipitation,6.5,0.0,Sweden
Stockholm,SE,2015-06-02,12:00:00,1433221200,10.9,8.3,12.9,,,26.8,188.0,,Rain,Precipitation,2.6,0.0,Sweden
Stockholm,SE,2015-06-03,12:00:00,1433307600,13.0,10.9,15.4,,,31.2,238.0,,Rain,Precipitation,5.9,0.0,Sweden
Stockholm,SE,2015-06-04,12:00:00,1433394000,13.4,9.6,16.8,,,23.4,272.0,,Rain,Precipitation,0.2,0.0,Sweden
Stockholm,SE,2015-06-05,12:00:00,1433480400,14.0,9.6,18.0,,,17.3,244.0,,Clear,Clear sky,0.0,0.0,Sweden
Stockholm,SE,2015-06-06,12:00:00,1433566800,13.8,10.4,18.2,,,26.1,197.0,,Rain,Precipitation,0.7,0.0,Sweden
Stockholm,SE,2015-06-07,12:00:00,1433653200,13.5,10.2,16.4,,,31.2,252.0,,Rain,Precipitation,0.2,0.0,Sweden
