city,country_code,date,time,timestamp,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,precipitation,snow,country
Ankara,TR,2015-05-17,12:00:00,1431838800,21.7,15.8,28.0,,,16.9,329.0,,Clear,Clear sky,0.0,0.0,Turkey
Ankara,TR,2015-05-18,12:00:00,1431925200,21.1,11.9,28.4,,,12.7,73.0,,Clear,Clear sky,0.0,0.0,Turkey
Ankara,TR,2015-05-19,12:00:00,1432011600,21.3,11.7,29.9,,,10.9,105.0,,Clear,Clear sky,0.0,0.0,Turkey
Ankara,TR,2015-05-20,12:00:00,1432098000,22.4,12.1,31.0,,,18.0,145.0,,Clear,Clear sky,0.0,0.0,Turkey
Ankara,TR,2015-05-21,12:00:00,1432184400,18.9,12.1,24.9,,,13.3,221.0,,Rain,Precipitation,0.4,0.0,Turkey
Ankara,TR,2015-05-22,12:00:00,1432270800,18.8,12.1,25.7,,,12.0,327.0,,Rain,Precipitation,0.9,0.0,Turkey
Ankara,TR,2015-05-23,12:00:00,1432357200,20.3,13.7,26.8,,,8.8,306.0,,Rain,Precipitation,0.3,0.0,Turkey
Ankara,TR,2015-05-24,12:00:00,1432443600,22.1,15.0,28.7,,,13.9,165.0,,Rain,Precipitation,0.1,0.0,Turkey
Ankara,TR,2015-05-25,12:00:00,1432530000,20.9,14.4,27.5,,,9.7,77.0,,Rain,Precipitation,0.3,0.0,Turkey
Ankara,TR,2015-05-26,12:00:00,1432616400,21.0,14.9,26.4,,,14.5,260.0,,Clear,Clear sky,0.0,0.0,Turkey
Ankara,TR,2015-05-27,12:00:00,1432702800,17.1,13.0,21.5,,,8.8,171.0,,Rain,Precipitation,8.7,0.0,Turkey
Ankara,TR,2015-05-28,12:00:00,1432789200,15.4,11.6,19.4,,,13.3,272.0,,Rain,Precipitation,2.2,0.0,Turkey
Ankara,TR,2015-05-29,12:00:00,1432875600,13.3,10.9,15.9,,,12.9,18.0,,Rain,Precipitation,8.7,0.0,Turkey
Ankara,TR,2015-05-30,12:00:00,1432962000,11.8,10.1,14.3,,,11.1,337.0,,Rain,Precipitation,11.6,0.0,Turkey
Ankara,TR,2015-05-31,12:00:00,1433048400,14.2,10.1,18.3,,,8.4,356.0,,Rain,Precipitation,0.6,0.0,Turkey
Ankara,TR,2015-06-01,12:00:00,1433134800,15.8,8.0,21.7,,,9.7,57.0,,Clear,Clear sky,0.0,0.0,Turkey
Ankara,TR,2015-06-02,12:00:00,1433221200,18.1,9.5,25.4,,,10.0,71.0,,Rain,Precipitation,0.4,0.0,Turkey
Ankara,TR,2015-06-03,12:00:00,1433307600,16.4,12.8,20.5,,,6.5,5.0,,Rain,Precipitation,16.8,0.0,Turkey
Ankara,TR,2015-06-04,12:00:00,1433394000,14.9,13.5,16.8,,,8.3,6.0,,Rain,Precipitation,16.3,0.0,Turkey
Ankara,TR,2015-06-05,12:00:00,1433480400,15.2,12.1,18.1,,,8.9,297.0,,Rain,Precipitation,0.8,0.0,Turkey
Ankara,TR,2015-06-06,12:00:00,1433566800,15.6,11.8,20.4,,,11.5,28.0,,Rain,Precipitation,6.9,0.0,Turkey
Ankara,TR,2015-06-07,12:00:00,1433653200,17.6,12.1,23.2,,,8.7,44.0,,Rain,Precipitation,3.5,0.0,Turkey
Ankara,TR,2015-06-08,12:00:00,1433739600,17.3,12.2,22.6,,,7.3,29.0,,Rain,Precipitation,5.2,0.0,Turkey
Ankara,TR,2015-06-09,12:00:00,1433826000,17.4,11.3,23.2,,,7.7,213.0,,Rain,Precipitation,2.1,0.0,Turkey
Ankara,TR,2015-06-10,12:00:00,1433912400,17.4,12.8,22.1,,,11.5,331.0,,Rain,Precipitation,1.8,0.0,Turkey
Ankara,TR,2015-06-11,12:00:00,1433998800,17.0,12.5,21.7,,,8.0,16.0,,Rain,Precipitation,5.7,0.0,Turkey
