city,country_code,date,time,timestamp,temp,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,precipitation,snow,country
Hanoi,VN,2015-05-17,12:00:00,1431838800,28.5,25.2,32.8,,,11.5,143.0,,Rain,Precipitation,6.9,0.0,Vietnam
Hanoi,VN,2015-05-18,12:00:00,1431925200,30.0,25.8,34.9,,,12.3,150.0,,Rain,Precipitation,0.4,0.0,Vietnam
Hanoi,VN,2015-05-19,12:00:00,1432011600,29.8,26.5,33.9,,,10.9,159.0,,Rain,Precipitation,2.4,0.0,Vietnam
Hanoi,VN,2015-05-20,12:00:00,1432098000,30.4,27.5,34.5,,,9.7,137.0,,Rain,Precipitation,2.4,0.0,Vietnam
Hanoi,VN,2015-05-21,12:00:00,1432184400,27.6,25.9,31.6,,,11.8,71.0,,Rain,Precipitation,30.3,0.0,Vietnam
Hanoi,VN,2015-05-22,12:00:00,1432270800,29.6,26.3,34.3,,,9.0,189.0,,Rain,Precipitation,2.5,0.0,Vietnam
Hanoi,VN,2015-05-23,12:00:00,1432357200,28.4,25.4,32.2,,,14.8,19.0,,Rain,Precipitation,42.9,0.0,Vietnam
Hanoi,VN,2015-05-24,12:00:00,1432443600,27.1,24.5,30.8,,,9.9,73.0,,Rain,Precipitation,2.5,0.0,Vietnam
Hanoi,VN,2015-05-25,12:00:00,1432530000,29.7,26.1,33.9,,,13.8,151.0,,Rain,Precipitation,0.4,0.0,Vietnam
Hanoi,VN,2015-05-26,12:00:00,1432616400,31.3,27.1,36.2,,,15.3,166.0,,Clear,Clear sky,0.0,0.0,Vietnam
Hanoi,VN,2015-05-27,12:00:00,1432702800,32.1,27.9,36.5,,,15.3,173.0,,Clear,Clear sky,0.0,0.0,Vietnam
Hanoi,VN,2015-05-28,12:00:00,1432789200,32.4,28.0,37.1,,,13.9,192.0,,Clear,Clear sky,0.0,0.0,Vietnam
Hanoi,VN,2015-05-29,12:00:00,1432875600,32.8,28.7,37.5,,,11.6,197.0,,Clear,Clear sky,0.0,0.0,Vietnam
Hanoi,VN,2015-05-30,12:00:00,1432962000,32.2,27.9,36.6,,,9.5,152.0,,Clear,Clear sky,0.0,0.0,Vietnam
Hanoi,VN,2015-05-31,12:00:00,1433048400,29.7,26.4,33.6,,,13.3,95.0,,Rain,Precipitation,10.0,0.0,Vietnam
Hanoi,VN,2015-06-01,12:00:00,1433134800,31.7,28.1,36.4,,,14.7,181.0,,Rain,Precipitation,0.8,0.0,Vietnam
Hanoi,VN,2015-06-02,12:00:00,1433221200,31.6,28.0,36.1,,,16.7,162.0,,Clear,Clear sky,0.0,0.0,Vietnam
Hanoi,VN,2015-06-03,12:00:00,1433307600,31.8,28.2,35.8,,,14.8,155.0,,Rain,Precipitation,0.6,0.0,Vietnam
Hanoi,VN,2015-06-04,12:00:00,1433394000,31.4,28.1,35.6,,,14.5,156.0,,Clear,Clear sky,0.0,0.0,Vietnam
